linear_b,greek_cognates,dubious,explanation,translation
du-ma-te,δυματες,,Second word from the pair. Removed accent from 'ύ'.,related to 'damos' (family groups?)
da-mi-ni-jo,δαμνιος,,No changes needed as it has no accents or special characters.,ethnic name of 'Damnos'
da-mo,δαμος|δημος,,Removed accent from 'ά'. The Linear B 'da-mo' corresponds to Greek 'δαμος'.,municipality
da-mo-ko-ro,δαμοκλος,,Removed accent from 'ά'. The Linear B 'da-mo-ko-ro' corresponds to Greek 'δαμοκλος'.,official title
da-phu-ri-to-jo,λαβυρινθοιο|λαβυρινθος,,Removed characters not in the allowed characters. The Linear B 'da-phu-ri-to-jo' corresponds to the Greek 'δαφυρινθοιο' and 'λαβυρινθος'.,(of the) labyrinth
da-ro,δαρων,,The Linear B 'da-ro' corresponds to Greek 'δαρων'.,personal name
da-ta-ja-ro,δαταιαρος,,No changes were necessary.,personal name
da-wi-ja,δαfia,,First word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ία'.,ethnic name of 'Dafos/Dafοη'
da-wi-jo,δαfιος,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ά'.,ethnic name of 'Dafos/Dafοη'
da-we-u-pi,δαfευφι,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,place name
da-wo,δαfος|δαfων,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,place name
de-de-me-no,δεδεμενος,,Removed accent from 'έ'. The Linear B 'de-de-me-no' corresponds to Greek 'δεδεμενος' (bound).,bound
de-di-ku-ja,δεδιδακυια|διδασκω,,Removed accent from 'ύ'.,being apprenticing (see also 'didaskalei')
de-do-me-na,δεδομενα|διδωμι,,Removed accent from 'έ'.,(things) being offered
de-ka-sa-to,δεξατο|δεχομαι,,Removed accent from 'έ'.,to be accepted
de-ku-tu-wo-ko,δεκτυfεργος,,Converted digamma 'F' to lowercase 'f'.,maker of nets
de-me-o-te,δεμεοντες,,Removed accent from 'έ'.,they who build
de-mi-ni-a,δεμνια,,No changes needed as it has no accents or special characters.,bedsteads
de-qo-no,δειπνον,,No changes needed as it has no accents or special characters.,"dinner, meal"
de-re-u-ko,δλευκος,,No changes needed as it has no accents or special characters.,must (of wine)
de-so-mo,δεσμοις|δεσμος,,No changes needed as it has no accents or special characters.,(with) straps
de-u-ka-ri-jo,δευκαλιων,,Removed accent from 'ί'. The Linear B 'de-u-ka-ri-jo' corresponds to Greek 'δευκαλιων'.,personal name
de-u-ki-jo-jo,δευκιοιο|δευκιος,,Removed accent from 'ί'.,month name
de-we-ro-ai-ko-ra-i-ja,δεfυροαιχωραιαι,,No changes needed as it has no accents or special characters. Converted digamma 'F' to lowercase 'f'.,place name (compare to 'peraiaihoraiai')
di-da-ka-re,διδασκαλει|διδασκαλος,,Removed accent from 'ά'. The Linear B 'di-da-ka-re' corresponds to Greek 'διδασκαλει'.,at the place of the practitioner (see also 'dedikyia')
di-ka-ta-de,δικτανδε|δικτη,,Removed parentheses and angle brackets. The Linear B 'di-ka-ta-de' corresponds to Greek 'δικτανδε' (Δίκτα>Δίκτη).,place name (mountain)
di-ka-ta-jo,δικταιος,,No accents or digamma to convert. The Linear B 'di-ka-ta-jo' corresponds to Greek 'δικταιος' (Diktaios).,epithet of god Zeus
di-ko-na-re-ja,δικοναρεια,,The Linear B 'di-ko-na-re-ja' corresponds to Greek 'δικοναρεια'. Removed accent from 'έ'.,personal name (fem.)
di-ko-na-ro,δικοναρος,,No changes needed as it has no accents or special characters.,personal name
di-pa,διπας|δεπας,,Removed accent from 'ί'. Included both forms.,a kind of cup
di-pi-se-wi-jo,διψιεfιος,,First word from the pair. Removed capital letter and accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,person from 'Dipsos'  (same as next)
di-pi-si-je-wi-jo,διψιεfιος,,Second word from the pair. Removed capital letter and accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,person from 'Dipsos'  (same as next)
di-pi-si-ja,διψια,,First word from the pair. Removed capital letter.,ethnic name of 'Dipsos'
di-pi-si-jo,διψιος,,Second word from the pair. Removed capital letter.,ethnic name of 'Dipsos'
di-pi-so-i,διψωι|διψος,,Removed accent from 'ώ'. Included both variants from the Greek cognate. The Linear B 'di-pi-so-i' corresponds to Greek 'διψωι' and 'διψος'.,place name
di-pte-ra,διπτερα,,Removed accent from 'ί'. The Linear B 'di-pte-ra' corresponds to Greek 'διπτερα' (leather hide >writing material).,leather hide (>writing material)
di-pte-ra-po-ro,διπτεραφορος,,Removed accent from 'ό'. The Linear B 'di-pte-ra-po-ro' corresponds to Greek 'διπτεραφορος' (ceremonial title).,ceremonial title
di-ri-mi-jo,δριμιος,,Removed accent from 'ί'.,god's name
di-ro,διρος,,No changes needed as it has no accents or special characters.,place name
di-u-ja,διυια,,First word from the pair. Removed accent from 'ί'.,priestess of god Zeus/goddess' s name
di-wi-ja,διfia,,Second word from the pair. Removed accent from 'ί'. Converted digamma 'F' to lowercase 'f'.,priestess of god Zeus/goddess' s name
di-wi-je-ja,διfia,,Third word from the pair. Removed accent from 'ί'. Converted digamma 'F' to lowercase 'f'.,priestess of god Zeus/goddess' s name
di-u-ja-jo,διυαιον,,First word from the set. Removed accent from 'ί'.,sanctuary dedicated to Diyia
di-wi-ja-jo-de,διfιαιονδε,,Second word from the set. Converted digamma 'F' to lowercase 'f'.,sanctuary dedicated to Diyia
di-wi-ja-wo,διfιαfιον,,Third word from the set. Converted digamma 'F' to lowercase 'f'.,sanctuary dedicated to Diyia
di-u-ja-wo,διυαfων,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ά'.,personal name/ priest of 'Difia'
di-u-jo,διυος,,First word from the pair. Removed accent from 'ύ'.,belonging to god Zeus
di-wi-jo,διfιος,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,belonging to god Zeus
di-we,διfει,,First word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'εί'.,god' s name (god Zeus)
di-wo,διfος|διας,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ός'.,god' s name (god Zeus)
di-wi-ja-me-ro,δfιαμερον|δfιημερον,,Removed digamma 'f' from F. Included both variants with 'ι' and 'η'.,two day period
di-wi-ja-ta,διfιαται,,Converted digamma 'F' to lowercase 'f'.,ethnic/place name
di-wi-je-u,διfιευς,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,personal name/ priest of god Zeus
di-wi-je-we,διfιευς,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,personal name/ priest of god Zeus
di-wi-jo,διfιον,,First word from the triple. Converted digamma 'F' to lowercase 'f'.,sanctuary dedicated to Zeus
di-wi-jo-de,διfιονδε,,Second word from the triple. Converted digamma 'F' to lowercase 'f'.,sanctuary dedicated to Zeus
di-wi-jo-jo,διfιονιο,,Third word from the triple. Converted digamma 'F' to lowercase 'f'.,sanctuary dedicated to Zeus
di-wo,διfων,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,personal name
di-wo-i-je-we,διfοσυιfει,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,'to the Son of Zeus'
di-wo-ni-so-jo,διfονυσοιο|διfονυσος,,"Converted digamma 'F' to lowercase 'f'. Included both forms 'ΔιFονυσοίο' and 'Διόνυσος', removing accents.",god's  name (god Dionysus)
do-de,δομονδε,,No modifications needed as the Greek cognate contains allowed characters only.,"refeπing to the >δόμος= house, dwelling"
do-e-ra,δουλη,,The Linear B 'do-e-ra' corresponds to Greek 'δοελα' and 'δουλη'. Removed accent from 'έ'.,slave (fem.)
do-e-ro,δουλος,,Removed accent from 'ό'.,slave (masq.)
do-e-ro-i,δουλοι,,Included both the original and later evolved forms.,slaves (masq. plur.)
do-po-ta,δοσποτα,,No changes needed as it has no accents or special characters.,goddess' s name
do-qe-ja,δορπεια,,First word from the pair. Removed accent from 'ε'.,δόρπον= supper/ Δορπία= name of feast
do-qe-u,δορπευς,,Second word from the pair. Removed accent from 'ε'.,δόρπον= supper/ Δορπία= name of feast
do-ra,δωρα,,The Linear B 'do-ra' corresponds to Greek 'δωρα' (gifts). Removed accent from 'ώ'.,gifts
do-ri-je-we,δωριεfει|δωριεfες|δωριευς,,Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,ethnic/personal name
do-ro-me-u,δρομευς,,No modifications needed. The Linear B 'do-ro-me-u' corresponds to Greek 'δρομευς' (Dromeus).,personal name
do-se,δωσει,,First word from the group. Removed accent from 'ώ'.,to give
do-so-si,δωσουσι,,Second word from the group. Removed accent from 'ώ'.,to give
di-do-si,διδοασι,,Third word from the group. Removed accent from 'ί'.,to give
do-so-mo,δοσμοι|δοσμος,,Removed accent from 'ό'.,offerings
do-we-jo,δορφειος,,Converted digamma 'F' to lowercase 'f'.,made of wood
du-ma,δυμας,,First word from the pair. The Linear B 'du-ma' corresponds to Greek 'δυμας'.,official/religious title (see also 'damates')
du-ma-te,δυματες,,Second word from the pair. The Linear B 'du-ma-te' corresponds to Greek 'δυματες'.,official/religious title (see also 'damates')
du-ni-jo,δυνιος,,No modifications needed.,personal name
du-ni-jo-jo,δυνιοιο,,No modifications needed.,personal name
du-re-u,δυρευς,,No changes needed as it has no accents or special characters.,personal name
du-ru-to-mo,δρυτομος,,No modifications were needed. The Linear B 'du-ru-to-mo' corresponds to Greek 'δρυτομος' (lumberjack).,lumberjack
du-ta-so,δυτασος,,No changes needed as it has no accents or special characters.,personal name
du-wo-jo-jo,δυfοιοιο|δυfοιος,,Removed parentheses from Greek cognate. Converted digamma 'F' to lowercase 'f'.,personal name
du-wo-u-pi,δυfουπι|δυο,,Converted digamma 'F' to lowercase 'f'.,consisting of two (see also  'dwo')
du-wo-we,δυfωfτεις,,Converted digamma 'F' to lowercase 'f'.,"with two 'ears,' handles"
dwo,δfο|δυfο,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,two
dwo-jo,δfο|δυfο,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,two
e-da-e-u,εδαευς,,First word from the pair. Removed accent from 'έ'.,personal name
e-da-e-wo,εδαεfο,,Second word from the pair. Removed accent from 'έ'.,personal name
e-do-me-ne-u,ειδομενευς,,First word from the pair. Removed accent from 'ύ'.,personal name
e-do-mo-ne-we,ειδομονεfει|ειδομονεfες,,Second word from the pair. Removed accent from 'έ'.,personal name
e-e-si,εενσι|ειμι,,First word from the pair. Removed accent from 'έ'. Labeling ειμι as dubious because it is too modified compared to the effective greek cognate.,they/there are
e-ne-e-si,ενεενσι|ενειμι,,Second word from the pair. Removed accent from 'έ'. Labeling ενειμι as dubious because it is too modified compared to the effective greek cognate.,they/there are
e-ka-ma-pi,εγμαφι,,First word from the pair. Removed accent from 'έ'.,stay
e-ka-ma-te,εγματει|εγμα,,Second word from the pair. Removed accent from 'έ'. Included parenthetical element.,stay
e-ka-ra,εσχαρα,,Removed accent from 'ά'.,griddle
e-ka-ra-e-we,εγγραεfεις,γραω,Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'. Labeling γραω as dubious because it is too modified compared to the effective greek cognate.,description of rarns (γράω= to eat)
e-ke,εχει,,First word from the triple. Removed accent from 'έ'.,he has/ to have/ they have
e-ke-e,εχειν,,Second word from the triple. Removed accent from 'έ'.,he has/ to have/ they have
e-ko-si,εχουσιν|εχουσι,,Third word from the triple. Removed accent from 'έ'. Included both the original and evolved forms.,he has/ to have/ they have
e-ke-da-mo,εχεδαμος|εχεδαμων,,Removed accents from 'έ'. The Linear B 'e-ke-da-mo' corresponds to Greek 'εχεδαμος' and 'εχεδαμων' (personal name).,personal name
e-ke-jo-to,εγκειοντοι|εγκειμαι,,Removed accent from 'έ'.,they are included
e-ke-me-de,εχεμηδης,,No changes needed as it has no accents or special characters.,personal name
e-ke-rya-wo,εχελιαfων,,First word from the pair. Removed capital letter and accent from 'ί'. Converted digamma 'F' to lowercase 'f'.,personal name
e-ke-rya-wo-ne,εχελιαfων,,Second word from the pair. Removed capital letter and accent from 'ί'. Converted digamma 'F' to lowercase 'f'.,personal name
e-ke-ro,εγχερος,,No modifications needed. The Linear B 'e-ke-ro' corresponds to Greek 'εγχερος' (Enheros).,personal name
e-ke-ro-qo-no,εγχεροπονοι,,Removed accent from 'ό'.,wage earners (>έγχερον= wage+ πόνος= labor)
e-ki-no,εχινος,,First word from the pair. Removed accent from 'ί'.,personal name
e-ki-no-jo,εργινος,,Second word from the pair. Removed accent from 'ί'. ,personal name
e-ko,εχων,,First word from the pair. Removed accent from 'έ'.,having (see also 'ehei')
e-ko-te,εχοντες,,Second word from the pair. Removed accent from 'έ'.,having (see also 'ehei')
e-ko,εγχος,,First word from the pair. Removed accent from 'έ'.,spear
e-ke-si,εγχουσι,,Second word from the pair. Removed accent from 'έ'.,spear
e-ko-me-na-ta-o,ερχομεναταο|ερχομενατας,,Removed accent from 'ά'. Included both forms.,personal name
e-ko-me-no,ερχομενος|ορχομενος,,"Removed accent from 'ό'. Included both forms, with 'ερ' and the later evolved 'ορ'.",place name
e-ko-so,εξων,,First word from the pair. Removed accent from 'ώ'.,place name
e-ko-so-no,εξωνος,,Second word from the pair. Removed accent from 'ώ'.,place name
e-ko-so-wo-ko,εξωfοργοι,,No changes needed. The Linear B 'e-ko-so-wo-ko' corresponds to Greek 'εξωfοργοι'. Converted digamma 'F' to lowercase 'f'.,'outside workers'(compare to 'entosνorgoi ')
e-ko-to,εκτωρ,,No changes needed as it has no accents or special characters.,personal name (Hector)
e-ku-se-we,εγχυσηfες|εγχεω,,Removed accent from 'ή'. Converted digamma 'F' to lowercase 'f'.,'funnels' (>εγχέω= to pour in)
e-ku-se-we-qe,εγχυσηfες|εγχεω,,Removed accent from 'ή'. Converted digamma 'F' to lowercase 'f'.,'funnels' (>εγχέω= to pour in)
e-ma-ha,ερμης,,Removed accent from 'ά'. The Linear B 'e-ma-ha' corresponds to Greek 'ερμαhαι'. Labelling ερμης as dubious because it is too modified compared to the effective greek cognate.,(related to) god Hermes
e-me,ενι,,Multiple possible cognates. Removed accent from 'έ'.,with one
e-mi-to,εμμισθων|εμμισθος,,No changes needed as it has no accents or special characters.,"in pay, hired"
e-na-po-ro,εναπλους,,Removed capital letter.,place name
e-ne-ka,ενεκα,,Removed accent from 'έ'. The Linear B 'e-ne-ka' corresponds to Greek 'ενεκα' (because of).,because of
e-ne-si-da-o-ne,ενεσιδαονει|ενεσιδαων,,Removed accents from 'ί'. Included both forms 'ενεσιδαονει' and 'ενεσιδαων'.,epithet of god Poseidon  (='earth- shaker')
e-ne-wo-pe-za,εννεfοπεζα,,Converted digamma 'F' to lowercase 'f'. The Linear B 'e-ne-wo-pe-za' corresponds to Greek 'εννεfοπεζα' (table) with nine legs.,(table) with nine legs
e-ni-pa-te-we,ενιπατευfει|ενιπατευς,,Removed accent from 'ύ'. Converted digamma 'F' to lowercase 'f'. Included the parenthetical cognate.,place name
e-nu-wa-ri-jo,ενυfαλιος,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,god's name
e-nwa-ri-jo,ενυfαλιος,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,god's name
e-o,εων,ειμι,The Linear B 'e-o' corresponds to Greek 'εων'. Removed accents from 'έ'. Considering ειμι as dubious because it is too modified compared to the effective greek cognate.,being/existing
e-pi,επι,,First word from the pair. No changes needed.,towards/on top
o-pi,επι,,Second word from the pair. No changes needed.,towards/on top
e-pi-di-da-to,επιδιδαστοι,επιδιδωμι,"Removed accent from 'ί'. Labeled επιδίδωμι as dubious because it is a verb, which is a very different form compared to επιδίδαστοι",distributed
e-pi-ja-ta,εφιαλτας,,No modifications needed. The Linear B 'e-pi-ja-ta' corresponds to Greek 'εφιαλτας' (personal name).,personal name
e-pi-ki-to-ni-ja,επιχιτωνια,,No changes needed as it has no accents or special characters.,kind of clothing (see also  'hiton')
e-pi-ko-wo,επικορfοι,,No changes needed as it has no accents or special characters. Converted digamma 'F' to lowercase 'f'.,"observers, guards"
e-pi-we-ti-ri-jo,επιfεστριος,,No changes needed. Converted digamma 'F' to lowercase 'f'.,kind of occupation (working with 'over-garments')
e-pi-zo-ta,επιζωστα,,No changes needed. The Linear B 'e-pi-zo-ta' corresponds to Greek 'επιζωστα' (tied οη top).,tied οη top
e-qa-ro,εμβαρος,,Removed accent from 'Έ'. The Linear B 'e-qa-ro' corresponds to Greek 'εμβαρος'.,personal name
e-qe-si-jo,επεσιος,,First word from the pair. Removed accent from 'έ'.,related to the 'epetas'
e-qe-si-ja,επεσια,,Second word from the pair. Removed accent from 'έ'.,related to the 'epetas'
e-qe-ta,επετας,,First word from the set. Removed accent from 'έ'.,official title (= 'attendant')
e-qe-ta-e,επετας,,Second word from the set. Removed accent from 'έ'.,official title (= 'attendant')
e-qe-ta-i,επετας,,Third word from the set. Removed accent from 'έ'.,official title (= 'attendant')
e-ra,ερα,,Removed accent from 'Έ'. The Linear B 'e-ra' corresponds to Greek 'ερα'.,goddess' s name (Hera)
e-ra,ερα,,Removed accent from 'Έ'. The Linear B 'e-ra' corresponds to Greek 'ερα'.,place name
e-ra-ja,εραια,,Removed capital letter from 'Ε'. The Linear B 'e-ra-ja' corresponds to Greek 'εραια'.,ethnic name of 'Era' (fem.)
e-ra-pe-me-na,ερραπμενη|ερραμμενη,,"Removed parenthesis and associated character from the Greek cognate. Lowercased Greek cognates, removed accent from 'έ' and parentheses.",sewed (fem.)
e-ra-po,ελαφων,,Removed accent from 'ά'.,place name (='port of the deers')(see also 'limenes')
ri-me-ne,λιμενες,,Removed accent from 'έ'.,place name (='port of the deers')(see also 'limenes')
e-ra-po-ri-me-ne,ελαφωνλιμενες,,Hand made,place name (='port of the deers')(see also 'limenes')
e-ra-ta-ra,εραθρα,,No changes needed as it has no accents or special characters.,personal name (fem.)
e-ra-te-i,ελατει,,First word from the pair. Removed accent from 'ά'.,place name
e-ra-to-de,ελατονδε|ελατος,,Second word from the pair. Removed accent from 'ό'.,place name
e-ra-te-i-jo,ελατειος,,Removed capital letter and accent from 'ά'.,ethnic name of 'Elatos'
e-ra-te-re-we,εραθρεfει,,First word from the pair. Removed capital letter and accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,place name
e-ra-te-re-wa-pi,εραθρεfα,,Second word from the pair. Removed capital letter and accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,place name
e-ra-wo,ελαιfον,,First word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,olive/essential oil
e-rai-wo,ελαιfον,,Second word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,olive/essential oil
e-re-e,ελεει|ελος,,First word from the pair. Removed accent from 'έ'.,place name (έλος= marsh)
e-re-i,ελεει|ελος,,Second word from the pair. Removed accent from 'έ'.,place name (έλος= marsh)
e-re-e,ερεττειν,,Multiple cognates provided. Removed parentheses. The Linear B 'e-re-e' corresponds to Greek 'ερεεν' and 'ερεττειν'. Removed accent from 'έ'.,to row
e-re-e-u,ερετευς,,No changes needed as it has no accents or special characters.,"master rower, 'coxswain' (see also 'eretai')"
e-re-mo,ερημος|ερημον,,Removed accent from 'έ'.,place deserted/ isolated
e-re-pa,ελεφας,,First word from the group. Removed accent from 'έ'.,elephant (implying ivory)
e-re-pa-te,ελεφαντει,,Second word from the group. Removed accent from 'έ'.,elephant (implying ivory)
e-re-pa-te-ja-pi,ελεφαντειαφι,,Third word from the group. Removed accent from 'έ'.,elephant (implying ivory)
e-re-pa-te-jo,ελεφαντειος,,Fourth word from the group. Removed accent from 'έ'.,elephant (implying ivory)
e-re-pa-to,ελεφαντος,,Fifth word from the group. Removed accent from 'έ'.,elephant (implying ivory)
e-re-ta,ερεται|ερετης,,First word from the pair. Removed accent from 'έ'.,rowers
e-re-ta-o,ερεταων,,Second word from the pair. Removed accent from 'έ'. 'ερετας' has been added to dubious.,rowers
e-re-u-te-ra,ελευθερα,,First word from the pair. Removed accent from 'έ'. The Linear B 'e-re-u-te-ra' corresponds to Greek 'ελευθερα' ('deliνered ').,'deliνered '/free
e-re-u-te-ro,ελευθερος,,Second word from the pair. Removed accent from 'έ'. The Linear B 'e-re-u-te-ro' corresponds to Greek 'ελευθερος' (free).,'deliνered '/free
e-re-u-te-re,ελευθερει|ελευθεραι,,Removed accent from 'έ'. Included both forms 'Ελευθέρει' and 'Ελευθέραι'.,place name?
e-re-u-te-ro-se,ελευθερωσε|ελευθερω,,Removed accent from 'έ'.,to set free/ to deliver
e-re-u-ti-ja,ελευθια,,Removed accent from 'ί'.,goddess' s name (= 'Deliνerer')
e-ri-ka,ελικας|ελικη,,First word from the pair. Removed accent from 'ί'. Included both forms.,willow tree
e-ri-ka-we-e,ελικας|ελικη,,Second word from the pair. Removed accent from 'ί'. Included both forms.,willow tree
e-ri-ke-re-we,ερικλεfεις|ερικλευς,,Removed accents from 'έ'. Converted digamma 'F' to lowercase 'f'.,personal name
e-ri-ko-wo,ερικοrfος,,Converted digamma 'F' to lowercase 'f'. Removed capital letter.,personal name
e-ri-nu,ερινυς,,First word from the pair. No changes needed as it has no accents or special characters.,goddess' s name
e-n-nu-we,ερινυς,,Second word from the pair. No changes needed as it has no accents or special characters.,goddess' s name
e-ri-ta,εριθα,,No changes needed as it has no accents or special characters.,personal name (fem.)
e-ro-ma-to,ελομανθος|ερυμανθος,,Removed capital letter and accent from 'ό'. Converted digamma 'F' to lowercase 'f'.,place name
e-ro-pa-ke-ja,ελλοφαγεια,,No changes needed as it has no accents or special characters.,game (hunting)
e-ro-pa-ke-ta,ελλοφαγέτας,,First word from the pair. Removed accent from 'έ'.,(deer) hunter (ελλός= young deer)
e-ro-pa-ke-u,ελλοφαγεύς,,Second word from the pair. Removed accent from 'έ'.,(deer) hunter (ελλός= young deer)
e-ru-mi-ni-ja,ελυμνιαι,,No modifications needed. The Linear B 'e-ru-mi-ni-ja' corresponds to Greek 'ελυμνιαι' (roof beams).,roof beams
e-ru-ta-ra,ερυθρα,,No changes needed as it has no accents or special characters.,red
e-ru-ta-ra,ερυθρας,,Removed accent from 'ύ'. The Linear B 'e-ru-ta-ra' corresponds to Greek 'ερυθρας' (Erythras).,personal name
e-ru-to-ro,ερυθρος,,Removed accent from 'ό'. The Linear B 'e-ru-to-ro' corresponds to Greek 'ερυθρος'.,personal name (= red)
e-sa-re-wi-ja,εσαλεfια,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,ethnic name of 'Esalos'
e-sa-re-u,εσαλευς,,First word from the group. Removed accent from 'έ'.,place name
e-sa-re-we,εσαλεfει,,Second word from the group. No changes were applied as no rules matched.,place name
e-sa-ro,εσαλος,,Third word from the group. No changes were applied as no rules matched.,place name
e-ta-je-u,εταγευς,,The Linear B 'e-ta-je-u' corresponds to Greek 'εταγευς' (place name).,place name
e-ta-wo-ne-u,εταfονευς,,First word from the triple. Removed capital letter and accent from 'ύ'. Converted digamma 'F' to lowercase 'f'.,personal name
e-ta-wo-ne-we,εταfονευς,,Second word from the triple. Removed capital letter and accent from 'ύ'. Converted digamma 'F' to lowercase 'f'.,personal name
e-ta-wo-ne-wo,εταfονευς,,Third word from the triple. Removed capital letter and accent from 'ύ'. Converted digamma 'F' to lowercase 'f'.,personal name
e-te,ενθεν,,No changes needed as it has no accents or special characters.,(from) inside
e-te-wa,ετεfας,,Converted digamma 'F' to lowercase 'f'.,personal name
e-te-wo-ke-re-we-i-jo,ετεfοκλεfειος|ετεοκλιος,,Removed capital letters and accent from 'έ'. Converted digamma 'F' to lowercase 'f'. Included both forms.,'son of Eteokleus'
e-to-ki-ja,εντοιχια,,No modifications needed. The Linear B 'e-to-ki-ja' corresponds to Greek 'εντοιχια' (fittings for insertion in walls).,fittings for insertion in walls
e-to-ni-jo,ετωνιον,,No modifications needed. The Linear B 'e-to-ni-jo' corresponds to Greek 'ετωνιον' (free-hold).,free-hold
e-to-ro-qa-ta,εντροπωτεροι|τροπωτηρ|τροπωτεροι,,"Removed accent from 'ά'. Included 'εντροπαται', as a possible cognate, and 'τροπωτηρ' as a dubious form, with a higher degree of modification.",oar-thongs
e-to-wo-ko,εντοσfοργοι,,Converted digamma 'F' to lowercase 'f'.,'inside workers' (see aslo 'eksovorgoi')
e-u-da-mo,ευδαμος,,Removed accent from 'ύ'.,personal name
e-u-de-we-ro,ευδειfελος,,Converted digamma 'F' to lowercase 'f'.,place name
e-u-do-no,ευδονος,,No changes needed as it has no accents or special characters.,personal name
e-u-ke-to,ευχετο|ευχομαι,,Removed accent from 'ύ'.,he/she wishes
e-u-ko-me-no,ευχομενος,,Removed accent from 'ό'. The Linear B 'e-u-ko-me-no' corresponds to Greek 'ευχομενος' (personal name).,personal name
e-u-me-de,ευμεδης,,No changes needed as it has no accents or special characters.,personal name
e-u-me-ne,ευμενης,,The Linear B 'e-u-me-ne' corresponds to Greek 'ευμενης'. Removed accent from 'έ'.,personal name
e-u-me-ta,ευμετας,,No changes needed as it has no accents or special characters.,personal name
e-u-na-wo,ευναfος,,Converted digamma 'F' to lowercase 'f'.,personal name
e-u-o-mo,ευορμος,,No changes needed as it has no accents or special characters.,personal name
e-u-po-ro-wo,ευπλοfος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ύ'.,personal name
e-u-ru-da-mo,ευρυδαμος,,Removed accent from 'ύ'.,personal name
e-u-ru-po-to-re-mo-jo,ευρυπτολεμοιο|ευρυπτολεμος,,Removed capital letters. The Linear B 'e-u-ru-po-to-re-mo-jo' corresponds to Greek 'ευρυπτολεμοιο'.,personal name
e-u-ru-qo-ta,ευρυποτας,,First word from the pair. No changes needed.,personal name
e-u-ru-wo-ta,ευρυfοτας,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,personal name
e-u-ta-re-wo,ευθαλεfος,,Converted digamma 'F' to lowercase 'f'.,place name (see also 'vorvos')
e-u-wa-ko-ro,ευfαγρος,,First word from the pair. Removed accent from 'ύ'.,personal name
e-wa-ko-ro,ευfαγρος,,Second word from the pair. Removed accent from 'ύ'.,personal name
e-we-pe-se-so-me-na,ευfπεσουμενα,,Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,'(things) to be retumed'
e-wi-ri-pi-ja,εfριπια|ευριπια,,Converted digamma 'F' to lowercase 'f'.,ethnic name of 'Evripos' (fem.)
e-wi-ri-po,εfριπως|ευριπος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,place name
e-wi-su-zo-ko,εfισυζορκος,,First word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ύ'.,decorative motif ('with deer οη both sides?') (>επίσης= equaly+ >δορκάς= roe deer)
e-wi-su-*79-ko,εfισυρκος,εfισυζυρκος,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ύ'. Labeling εfισυζυρκος as dubious because it is too modified compared to the effective greek cognate.,decorative motif ('with deer οη both sides?') (>επίσης= equaly+ >δορκάς= roe deer)
e-wi-ta-jo,εfιταιος,,First word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,ethnic name of 'Eviteus'
e-wi-te-wi-jo,εfιτεfιος,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,ethnic name of 'Eviteus'
e-wi-te-u,εfιτευς,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,place name
e-wi-te-we,εfιτεfει,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,place name
e-zo-wo,εζωfος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'Έ'.,personal name
i-do-me-ne-ja,ιδομενεια,,First word from the pair. Removed accent from 'έ'.,personal name (fem.)
i-do-me-ne-jo,ιδομενειος,,Second word from the pair. Removed accent from 'έ'.,personal name (fem.)
i-ja-te,ιατηρ,,Multiple possible cognates. Removed accent from 'ά'.,doctor/curator
