Transliteration (Latin),Pronunciation (Greek),Pronunciation (English),Translation (English)
e-to-ki-ja,εντοίχια,entoihia,fittings for insertion in walls
e-to-ni-jo,ετώνιον,etonion,free-hold
e-to-ro-qa-ta,εντροπάται(>τροπωτήρ),entropatai (>tropoter),oar-thongs
e-to-wo-ko,εντοσFοργοί,entosvorgoi,'inside workers' (see aslo 'eksovorgoi')
e-u-da-mo,Εύδαμος,Eudamos,personal name
e-u-de-we-ro,ΕυδείFελος,Eudeivelos,place name
e-u-do-no,Εύδονος,Eudonos,personal name
e-u-ke-to,εύχετοι(εύχομαι),euhetoi (eflιomai),he/she wishes
e-u-ko-me-no,Ευχόμενος,Euhomenos,personal name
e-u-me-de,Ευμέδης,Eumedes,personal name
e-u-me-ne,Ευμένης,Eumenes,personal name
e-u-me-ta,Ευμέτας,Eumetas,personal name
e-u-na-wo,ΕύναFος,Eunavos,personal name
e-u-o-mo,Εύορμος,Euormos,personal name
e-u-po-ro-wo,ΕύπλοFος,Euplowos,personal name
e-u-ru-da-mo,Ευρύδαμος,Euridamos,personal name
e-u-ru-po-to-re-mo-Jo,Ευρυπτολέμοιο(Ευρυπτόλεμος),Euryptolemoio (Euryptolemos),personal name
e-u-ru-qo-ta/e-u-ru-wo-ta,Ευρυπότας,Eurypotas,personal name
e-u-ta-re-wo,ΕυθαλέFος,Euthalevos,place name (see also 'vorvos')
e-u-wa-ko-ro/e-wa-ko-ro,Εύαγρος,Euagros,personal name
e-we-pe-se-so-me-na,εFεψεσόμενα(>ευτρόσσεσθαι),efepsesomena (>eutrosesthai),'(things) to be retumed'
e-wi-ri-pi-ja,ΕFρίπια,Evripia,ethnic name of 'Evripos' (fem.)
e-wi-ri-po,ΕFρίπως(>Εύριπος),Evripos (>Euripos),place name
e-wi-su-zo-ko/e-wi-su-*79-ko,εFισύζορκος/εFισύ(ζυ;)ρκος,efisyzorkos/ efisy(zu?)rkos,decorative motif ('with deer οη both sides?') (>επίσης= equaly+ >δορκάς= roe deer)
e-wi-ta-jo/e-wi-te-wi-jo,ΕFιταίος/ΕFιτέFιος,Evitaios/ Evitevios,ethnic name of 'Eviteus'
e-wi-te-u/e-wi-te-we,ΕFιτεύς/ΕFιτέFει,Eviteus/ Evitevei,place name
e-zo-wo,ΈζωFος,Ezovos,personal name
i-do-me-ne-ja/i-do-me-ne-jo,Ιδομένεια/Ιδομένειος,Idomeneia/ Idomeneios,personal name (fem.)
i-ja-te,ιάτερ/ιατήρ,iater,doctor/curator
i-ja-wo-ne,ΙαFόνει(ΙάFων),Iafonei (lafon),personal name
i-je-re-ja,ιέρεια,lere1a,priestess
i-(j)e-re-u/i-je-re-wo,ιερεύς/ιερέFος,iereus/ lerevos,priest
i-je-re-wi-jo,ιερέFιος,lerevιos,(someone) belonging to the priesthood
i-je-ro/i-je-ro-jo,ιερός,leros,"sacred, holly"
i-je-ro-wo-ko,ιεροFοργός(>ιερουργός),lerovorgos (>ierourgos),a sacrificing priest
i-je-to,ίεντοι/ίετο(ίημι),ientoi/ieto (ieimi),delivered (also with the religious meaning)
i-je-we/i-jo,"ιεFεί/ιός(>υιός,γιός)","ievei/ios (>ios, yios)",son
i-jo-te,ιόντες(ίημι),iontes (ieimi),(they who are) com1ng
i-ke-u,ικεύς(>ικέτας/ικέτης),ikeus (iketas/iketeis),suppliant
i-ni-ja,Ίνια,Inia,personal name (fem.)
i-pe-me-de-ja,Ιφεμέδεια(>Ιφιμήδεια),Iphemedeia (>Iphimedia),goddess' s name
i-pe-me-de-ja-jo,Ιφεμεδειαίον,Iphemedeiaion,sanctuary of 'Iphemedeia'
i-pe-se-wa,ΙψέFας,Ipsewas,personal name
i-po-no,ιπνός,ιpnos,"kind of pot/ cooking bowl (>ιπνός= oven, furnace)"
i-po-po-qo-i,ιπ(π)οπόποι(>ιπποκόμος),ip(p)opopoi (>ippokomos),horse- grooms (problematic orthograph y)
i-qe-a,Ιπ(π)εία,Ip(p)eia,goddess' s name (='mistress of the horses')
i-qi-ja/i-qi-jo,ιπ(π)ία/ιπ(π)ίω,ip(p)ia/ip(p)io,chariot
i-qo,ίπ(π)ος,ip(p)os,horse
i-qo-e-qe,ιπ(π)ο(e-qe),ιπ(π)ο(e-qe),saddle?
i-su-ku-wo-do-to,ΙσυχύFδοτος,Isyhywdotos,personal name
i-te-ja-o/i-te-u,ιθειάων(ιθείαι)/ιθεύς(>ιθύνω),itheiaon (itheiai)/ itheus (>ithyno),weavers (>ιθύνω= to make straight)
i-to-we-sa,(i-to)Fεσσα,(i-to)vessa,haνing ('i-to?')
i-wa-ka/i-wa-ka-o,ΊFαξ,Ivax,personal name
i-wa-so,ΊFασος,Ivasos,personal name
jo-(do-so-si)/jo-(o-po-ro),ως,os,introductory particle (see also 'ο-')
ka-da-mi-ja,καρδαμία(>κάρδαμον),kardamia (>kardamon),(some product related to) garden cress
ka-da-ro,Χάνδαρος,Handaros,personal name
ka-e-sa-me-no,Καεσάμενος,Kaesamenos,personal name
ka-e-se-u/ka-e-se-we,Καεσεύς,Kaeseus,personal name
ka-ke-u/ka-ke-u-si/ka-ke-we,χαλκεύς/χαλκεύσι/χαλκήFες,halkeus/ halkeusi/ halkives,copper worker
ka-ke-u,Χαλκεύς,Halkeus,personal name
ka-ki-ja/ka-ke-ja/ka-ki-jo,χαλκία/χαλκίος,halkia/ halkios,made of copper
ka-ko/ka-ke-ja-pi,χαλκός/χαλκόνχαλκείαφι,halkos/halkon halkeiaphi,copper
ka-ma,κάμα,kama,unit of land
ka-ma-e-u/ka-ma-e-we,καμαεύς,kamaeus,owner of a 'kama'
ka-na-ko,κνάκος(>κνήκος),knakos (>knekos),safflower (plant)
ka-na-pe-u/ka-na-pe-we,κναπεύς(κνάπτω),knapeus (knapto),occupation (κνάπτω= to card)
ka-pa-si-ja/ka-pa-ti-ja,Καρπασία/Καρπαθία,Karpasia/ Karpathia,personal/ ethnic name of 'Karpathos'(fem.)
ka-pe-se-wa-owo-wo,(ka-pe-se-wa-o)FόρFος,(ka-pe-se-wa-o) vorvos,place name (see 'νοrνοs')
ka-pi-ni-ja,καπνία,kapnia,'chimney'
ka-po,καρπός,karpos,fruit
ka-ra-a-pi,καράαφι,karaaphi,with a head
ka-ra-do-ro/ka-ra-do-ro-de,Χάραδρος,Haradros,place name (= gorge)
ka-ra-do-wa-ta,ΧαραδοFάτας,Haradovatas,personal name
ka-ra-ko,γλάχων(>βλήχων),glahon (>blehon),pennyroyal (plant)
ka-ra-ma-to,κλάσματος(κλάσμα),klasmatos (klasma),"fragment, part"
ka-ra-pa-so,Κάρπασος(>Κάρπαθος),Karpasos (>Karpathos),place name
ka-ra-re-we,κλάρεFες/κλαρέFει(ς)(κλαρεύς;),klareves/ klarevei( s) (klareus?),kind of pot (stirrup jar)
ka-ra-u-ko,Γλαύκος,Glaukos,personal name
ka-ra-we,γράFες(*γραύς>γραία),graves (*grafs >graia),old women
ka-ra-wi-po-ro,κλα(δ)Fιφόρος(>κλειδοφόρος),kla(d)viphoros (>kleidophoros),religious title (='key-bearer?')
ka-ri-se-u,Χαρισεύς,Hariseus,personal name
ka-ri-si-jo,Χαρίσιος,Harisios,personal name
ka-ro-qo,Χάροψ,Harops,personal name
ka-ru-ke,κάρυκες(κάρυξ>κήρυξ),karykes (karyx> keryx),heralds
ka-ru-pi/ka-ru-we,καρύφι/καρύFει(καρύα),karyphi/karyfei (karya),(made of) nut- tree
ka-ru-to,Κάρυστος,Karystos,place name
ka-sa-to,Ξάνθος,Xanthos,personal name
ka-ta-wa,ΚαταFάς,Katawas,personal name
ka-ti,κάρτις;,kartis?,kind of pot (hydria)
ka-to/ka-to-ro,Κάστωρ,Kastor,personal name
ka-tu-re-wi-ja/ka-tu-ro2,κανθυλήFιαι,kanthyleviai,saddle- bags
ka-u-no,Χαύνος,Haunos,personal name
ka-zo-e,κάζοες(κάκΥοες>κακίονες),kazoes (kakYoes> kakiones),(of) worse (quality)
ke-e/ke-i-ja-ka-ra-na,Κείεt/ΚείαΚράνα,Keiei/ Keia Κrana,place name (>κρήνη= spring)
ke-i-jo,Κείος,Keios,ethnic name of 'Keia/Κeie'
ke-ka-u-me-no,κεκαυμένος,kekaumenos,burnt
ke-ke-me-na/ke-ke-me-no,κεκειμένα/κεκείμενος,kekeimena/ kekeimenos,common (refeπing to ktoina= plot; see opp. 'ktimena')
ke-ki,Κελχίς,Kelhis,place name
ke-ki-de,Κελχίδες,Kelhides,ethnic name of 'Kelhis'
ke-ki-jo,Κέρκιος,Kerkios,personal name
ke-ra/ke-ra-a2/ke-ra-e/ke-ra(-ja)/-i-jake-ra-ja-pi,κέρας/κέραhα,keras/ keraha,horn (implying the material)
ke-ra-e-we,κεραέFει(ς)(κεραεύς),keraevei(s) (keraeus),horn worker
ke-ra-me-ja,Κεραμεία,Kerameia,personal name (fem.)
ke-ra-me-u/ke-ra-me-wo,Κεραμεύς,Kerameus,personal name
ke-ra-me-u,κεραμεύς,kerameus,potter
ke-ra-no,κελαινός,kelainos,"dark, black"
ke-ra-so,Κερασώ,Keraso,personal name (fem.)
ke-ra-ti-jo-jo,Κερατίοιο,Keratioio vorvos,place name (see also 'vorvos')
ke-ra-u-jo,Κεραύιος,Keravios,personal name
ke-re-a2,σκελέhας(>σκέλος),skelehas (>skelos),legs
ke-re-si-jowe-ke,κρησιοFεργής,kresiovergeis,of Cretan style
ke-re-te-u,Κρηθεύς,Κretheus,personal name
ke-re-ti-wo,ΚρήθιFος,Κrethivos,place name
ke-ro-si-ja,γερονσία(>γερουσία),yeronsιa (> yerousia),council of elders ('senate')
ke-ro-wo,ΚέροFος,Kerovos,personal name
ke-sa-do-ro,Κέσανδρος,Kesandros,personal name
ke-se-ne-wi-ja/ke-se-ni-wi-ja/ke-se-nu-wi-ja/ke-se-ni-wi-jo/ke-se-nu-wo,ξένFια/ξένFιος(>ξένια/ξένιος),xenwia/xenwios (>xenia/xenios),divine epithet (ξένιος= 'hospitable')
"ke-u-po-da/ke-u-po-da-o/
ke-u-po-de-ja",χευσπόνδας/χευσπόνδεια,heuspondas/ heuspondeia,(=libation pourer)
ke-u-sa,Κέουσας,Κέουσας,personal name
ke-we-to-jo,ΚηFέτοιο(ΚηFέτος),Kevetoio (Kevetos),personal name
ki-ni-di-ja,Κνίδια(ι),Knidia(i),ethnic name (fem.)
ki-ri-ta,κριθά(>κριθή),kritha (>krithe),barley
ki-si-wi-ja,ΞίFια(ι),Xivia(i),ethnic name of '>Chios?' (fem.)
ki-ta-no,κίρτανος(>κρίτανος),kirtanos (>kritanos),terebinth tree (see also 'ti-mi-to')
ki-ti-je-si,κτίενσι,ktiensi,"they cultivate (>κτίζω?= to settle, to found)"
ki-ti-me-na/ki-ti-me-no,κτιμένα/κτιμένος,ktimena/ktimenos,"settled, owned (see also 'ktoina')"
ki-ti-ta,κτίτας,ktitas,"inhabitant, settler"
ki-to,χιτών,hiton,"chiton, type of clothing"
ki-wo/ki-wo-na-de,κίFων,kiwon,pillar
ko-do-jo,Κοδοίο(Κόδος),Kodoio (Kodos),personal name
ko-ka-ro/ku-ka-ro,Κώκαλος/Κύκαλος,Kokalos/ Kykalos,personal name
ko-ki-da,Κόλχιδας,Kolhidas,personal name
ko-ki-jo,Κόλχιος,Kolhios,personal name
ko-ki-re-ja/,κολχιρεία/(*κολχίας>κοχλίας),kolhireia (*kolhias>kohlias),"shell-shaped, spiral"
ko-ku,κόγχυς;,konhys?,(>κόγχη= a mussel/something sharp)
ko-ku-ro,κογχυλός,konhylos,shell-shaped/ purple
ko-ma-we/ko-ma-we-te/ko-ma-we-to,ΚομάFεις/ΚομαFέντει/ΚομαFέντος,Komafeis/ Komafentei/ Komafentos,personal name (>κομάεις=  'with nice  hair')
ko-ma-we-ta,κομαFέντα,komafenta,(κόμμα= stamp)
ko-ma-we-te-ja,ΚομαFέντεια,Komafenteia,goddess' s name (κόμα>κόμη= hair)
ko-no,σκοίνος,skoinos,"schinus, rush (plant)"
ko-no-si-ja/ko-no-si-jo,Κνώσια/Κνώσιος,Knosia/ Knosios,ethnic name of 'Knossos'
ko-no-so/ko-no-so-de,Κνωσός/Κνωσόνδε,Knosos/ Knosonde,place name
ko-pi-na,κοφίνα;(>κόφινος),kophina? (>kophinos),'coffin?' (>κόφινος= basket)
ko-re-te/ko-re-te-re,κορέτερ/κορέτηρες,koreter koreteres,official title ('mayor')
ko-re-te-ri-jo,κορετήριον,koreterion,refeπing to the 'koreter' (='mayor's  house')
ko-ri-a2-da-na/ko-ri-ja-da-na/ko-ri-ja-do-no/ko-ri-jo-da-na,κολίαδνα/κολίαδνος(>κολίαντρος),koriadna/ koriadnos (>koliantros),coriander (plant)
ko-ri-si-ja/ko-ri-si-jo,Κορίνσια/Κορίνσιος(>Κορίνθια/Κορίνθιος),Korinsia/ Korinsios (>Korinthia/ Korinthios),ethnic name of 'Koήnthos'
ko-ri-to,Κόρινθος,Korinthos,place name
ko-ro-jo-wo-wi-ja,κροιοFόρFια,kroiovorvia,place name
ko-ro-ku-ra-i-jo,Κροκυλαίοι(>Κερκυραίοι;),Κrokylaioi (>Kerkyraioi ?),ethnic name of >'Kerkyra' (Corfu)?
ko-ro-no-we-sa,κορωνόFεσσα(κορωνός/κορώνη;),koronovessa (koronos/ korone?),"(pot decoration) (κορωνός= curved, crooked,κορώνη= sea-crow"
ko-ru/ko-ru-pi,κόρυς/κόρυ(θ)φι,korys kory(th)phi,helmet
ko(-ru-)we-ja,κορυFεία(>κουρήια;),koryveia (>koureia?),related to 'ko-wa'/ to 'ko-ru?' (see also 'qo-wi- ja')
ko-so-u-to,Ξούθος/ξουθός,Ksouthos,"personal name (= blond, tawny)"
ko-to-i-na/ko-to-na/ko-to-na-o,κτοίνα/κτοινάων,ktoina/ ktoinaon,plot of land
ko-to-no(-o)-ko,κτοινόοχοι,ktoinoohoi,plot owners
ko-tu-ro2/ko-tu-ro2-ne,Κοτυρίων/Κοτυρίονει,Kotyrion/ Kotyrionei,personal name
ko-tu-we/ko-tu-wo,ΚοτύFεt/ΚότυFος,Kotyvei/Kotyvos,place name
ko-we-ja,κόρFεια(>κούρια),korfeia (>kouria),like a 'korfa' (see next)
ko-wa,"κόρFα(>κούρη,κόρη)","korfa (>koure, kore)","young woman, girl"
ko-wo,κόρFος(>κούρος),korfos (>kouros),young man
ko-wo,κόFος(>κώας),kovos (>koas),fleece
ku-do-ni-ja,Κυδωνία,Kydonia,place name (modern Chania)
ku-ka-da-ro,Κυκάδαρος,Kykadaros,personal name
ku-ke-re-u,Κυκλεύς,Kykleus,personal name
ku-mi-no/ku-mi-no-jo,κύμινον,kyminon,cumin (plant)
ku-na-ja/ku-na-ki-si,γυναία/γυναιξί,wynaia/ wynaiksi,woman
ku-na-ke-ta/ku-na-ke-ta-i,κυναγέτας,kynagetas,hunter
ku-pa-ri-si-jo,Κυπαρίσιοι(Κυπαρίσιος),Kyparisioi (Κyparisios),ethnic name of 'Kypaήsos'
[ku-]pa-ri-so,Κυπαρισσός,Kyparisos,place name
ku-pa-ro,κύπαιρος,kypairos,cyperus (plant)
ku-pa-ro-we,κυπαιρόFεν,kypairofen,made with 'kypairos'  (see previous)
ku-pe-se-ro,Κύψελος,Kypselos,personal name
ku-pi-ri-jo,Κύπριος,Kyprios,ethnic name (of Cyprus)
ku-ra-no,Κυλάνος,Kylanos,personal name
ku-re-we,ΚουρήFες(>Κουρήτες),Koureves (>Kouretes= a warlike tribe),group name
ku-ru-me-no/ku-ru-me-no-jo,Κλυμένος,Klymenos,personal name
ku-ru-so,χρυσός,hrysos,gold
ku-ru-so-wo-ko,χρυσοFοργός(>χρυσουργός),hrysovorgos (>hrysourgos),gold worker
ku-ru-su-pa3,χρυσυφαία;,hrysyfaia?,kind of pot (tripod amphora)
ku-su,ξύν(>συν),ksyn (>syn),plus
ku-su-pa,ξύμπαν(>σύμπαν),ksympan (>sympan),whole
ku-su-to-ro-pa,ξυ(ν)στροφά(>συστροφή),ksy(n)stropha (>systrophe),"collection, gathering"
ku-ta-(i-)to,Κύταιστος,Kytaistos,place name
ku-ta-ti-jo,Κυταίσιος,Kytaisios,ethnic name of 'Kytaistos'
ku-te-se-jo,κυτέσειος/κυτεσείοις(>κύτισος),kyteseios/ kyteseiois (>kytisos),made from ebony/ in ebony
ku-te-ra-o/ku-te-ra3,Κυθεραίος/Κυθερέα(ι),Kytheraios Kytherea(i),ethnic name of 'Kythera'
ku-te-re-u-pi,Κυθερεύφι(Κύθηρα),Kythereuphi (Kythera),place name (modern Κithira)
ku-tu-qa-no,Κτυγιάνωρ,Ktygianor,personal name
ku-wa-no,κύFανος(>κύανος),kywanos (>kyanos),"gemstone, lapis lazuli (κύανος= blue)"
ku-wa-no-wo-ko,κυFανοFοργός,kyvanovorgos,gemstone worker
ma-ka,ΜάΓά;(ΜάτερΓαία),Ma Ga? (Mater Gaia),='mother earth?' (goddess' name)
ma-ka-wo,ΜαχάFων,Mahafon,personal name
ma-na-sa,Μάνασσα,Manassa,goddess' s name
ma-na-si-we-ko,ΜνασίFεργος,Mnasivergos,personal name
ma-ni-ko,Μάνιχος,Manihos,personal name
ma-no-u-ro,Μάνουρος,Manouros,personal name
ma-ra-ne-ni-jo,Μαλανένιοι,Maranenioi,ethnic name (related to 'Marineu '?)
ma-ra-te-u,Μαλατεύς/Μαλθεύς,Marateus/ Maltheus,personal/ ethnic name
ma-ra-te-we/ma-ri-ti(-wi)-jo,μαλαθήFες/μαλθί(Fι)ος,malathives/ malthi(vi)os,ethnic name
ma-ra-tu-wo,μαράθυFον(>μάραθος),marathyvon (>marathos),fennel (plant)
ma-re-u/ma-re-wo,Μαλεύς,Maleus,personal name
ma-ri-ne-u/ma-ri-ne-we,Μαρινεύς,Marineus,god's name?
ma-n-ne-we-ja-i,ΜαρινέFεια(ι),Marineveia(i),priestess of 'Marineus'?
ma-ri-ta,Μάλιτας,Malitas,personal/ ethnic name
ma-ro-pi,Μαλόφι(Μάλος),Malophi (Malos),place name
ma-te/ma-te-re,μάτερ,mater,mother
ma-to(-ro-)pu-ro,Ματρόπυλος,Matropylos,place name
ma-u-ti-jo,Μαύτιος,Mautios,personal name
me-de-i-jo,Μέδειος,Medeios,personal name
me-ni-jo,μήνιος,me. . 1n10s,related to 'mein' (see next)
me-no,μηνός(μην>μήνας),meιnos (mein> meinas),month (μήν= month/moon/an Anatolian deity)
me-no-e-ja,μηνοεία,menoeιa,moon shaped?
me-re-ti-ra2/me-re-ti-ri-ja,μελέστριαι,melestriai,flour grinders (fem.)
me-re-u-ro,μέλευρον(>μάλευρον),meleuron (>maleuron),flour
me-ri/me-ri-to,μέλι(ν)/μέλιτον,meli(n)/ meliton,honey
me-ri-da-ma-te/me-ri-du-ma-te,μελιδάματες/μελιδύματες,melidamates/ melidymates,ceremonial title (=' distήbutors of honey'?)
me-ri-te-wo,μελιτέFος(μελιτεύς),melitevos (meliteus),personal name/ occupation (μέλι= honey)
me-ta,μετά,meta,"after, with"
me-ta-ke-ku-me-na,μετακεκυμένα,metakekumena,dismantled?
me-ta-ki-ti-ta,μετακτίτας,metaktitas,settler οη a second- stage (see also 'ktitas')
me-ta-pa/me-ta-pa-de,Μετάπα/Μετάπανδε,Metapa/ Metapande,place name
me-ta-pi-jo,Μετάπιος,Metapios,ethnic name of 'Metapa'
me-to-qe-u,Μετωπεύς,Metopeus,personal name
me-u-jo-a2,μεFίοhα(>μείονα),mevioha (>meiona),smaller (many things)
me-wi-jo/me-u-jo,μεFίων/μεFίος(>μείων),mevion/mevios (>meion),smaller (one person)
me-wi-jo-e/me-u-jo-e,μεFίοες(>μείονες),mevιoes (>meiones),smaller (many persons)
me-zo,μέζων/μέζος(>μείζων),mezon/mezos (>meizon),"greater, bigger (one person)"
me-zo-a2,μέζοhα(>μείζονα),mezoha (>meizona),"greater, bigger (many things)"
me-zo-e,μέζοες(>μείζονες),mezoes (>meizones),"greater, bigger (many persons)"
mi-ra-ti-ja,Μιλάτια(ι),Milatia(i),ethnic name of 'Milatos'  (Miletus)
mi-ta,μίνθα(>μέντα),mintha (>menta),"mentha, mint (plant)"
mi-to-we-sa/mi-to-we-sa-e,μιλτόFεσσα,miltovessa,(painted) red
mo-qo-so,Μοψός,Mopsos,personal name
mo-re-u,Μολεύς,Moleus,personal name
mo-ri-wo-do,μόλυβδος,molyvdos,lead
mo-ro-qa,μορόπας,moropas,official (military?) title
mo-ro-po-ro/mo-ro-qo-ro-jo,Μόροπλος,Moroplos,personal name
na-i-se-wi-jo,ΝαϊσέFιος,Na'isevios,personal name
na-u-do-mo,ναυδόμος,naudomos,ship worker
na-u-si-ke-re[-we],ΝαυσικλέFεις(>Ναυσικλής),Nausikleveis (>Νausikles),personal name
na-wi-jo,νάFιος(ναFός>ναός),navιos (navos>naos),of the temple
na-wi-ro,ΝάFιλος,Navilos,personal name
ne-de-wa-ta/ne-de-wa-ta-o,ΝεδFάτας,Nedwatas,personal name
ne-de-we(-e)/ne-do-wo-ta-de/ne-do-wo-te,ΝεδεFεί(ει)/ΝeδFότανδε/ΝέδFοθεν(ΝέδFα/ΝέδFων),Nedevei(ei)/ Nedvotande/ Nedvothen (Nedfa/Nedfon),place name (>Νέδα= a modern river)
ne-ti-ja-no(-re),Νεστιάνωρ,Nestianor,personal name
ne-wa/ne-wo,νέFα/νέFος(>νέα/νέος),neva/nevos (>nea/neos),new
no-pe-re-a2/no-pe-re(-e),νωφελέα,nophelea,useless
no-ri-wo-ki-de,(ηο-ri-wο-)κιδες,(no-ri-wo-)kides,ethnic/group name
nu-wa-ja/nu-wa-i-ja,νυμFαία;,numfaia?,kind of cloth/textile (>νυμφαία= yellow water-lily/ νύμφα= bride)
ο-/o-a2/o-da-a2/o-de-qa-a2,ο-/οhά/οδάhα/οδετάhα,ο-/ oha/ odaha/ odetaha,"introductory/ prothetic world ='who, in this manner' (see also 'jo-')"
o-da-twe-ta/o-da-tu-we-ta/o-da-ke-we-ta/o-da-ku-we-ta,οδατFέντα(>οδούς=δόντι),odathenta (>odous= tooth),provided with 'teeth'  (of wheels)
o-du-ru-we/o-du-ru-wo,ΟδρύFει(Οδρύς;),Odryvei (Odrys?),place name
o-du-ru-wi-ja/o-du-ru-wi-jo,ΟδρύFια/ΟδρύFιος,Odryvia/ Odryvios,ethnic name of 'Odryvei/Odrys'
o-ka,ορχά(>αρχή),orha (>arhe),command/mission/ (military) unit
o-ka-ra,Οιχαλαί,Oihalai,place name
o-ka-ra3,Οιχαλέα(ι),Oihalea(i),ethnic name of 'Oihalai'
o-ko-me-ne-u,Ορχομενεύς,Orhomeneus,personal name
o-ku-na-wo,ΟκύναFος/ΟκυνάFων,Okynavos/ Okynafon,personal name
o-mo-pi,όρμοφι(όρμος),ormophi (ormos),with chains
o-na-te-re,ονάτερες,onateres,lessees (see next)
o-na-ta/o-na-to,όνατα/όνατον(ωνέομαι),onata/onaton (oneomai),lease (ωνέομαι= to buy)
o-ni-ti-a-pi,ορνίθιαφι(όρνις/όρνιθα),ornithiaphi (ornis/ornitha),(with) birds
ο-nο,όνος/ώνοι,onos,ass/(ώνια= payment)
o-nu-ka/o-nu-ke,όνυξ/όνυχες,onyx/onyhes,"(anything like a) claw, nail"
o-pa,όλπα(>όπλα;),olpa (>opla?),term related with the delivery of things
o-pa-wo-ta,(ο-pa)φορτα,(o-pa)forta,things being brought
o-pe-ro,όφελος(>οφεtλή),ophelos (>ophele),"debt, liability"
o-pe-ro-sa/o-pe-ro-ta/o-pe-ro-te,οφέλονσα/οφέλοντας/οφέλοντες,ophelonsa/ ophelolontas/ ophelontes,she/he/they who owe
o-pe-ro-si,οφέλονσι(>οφεiλουσι),ophelonsi (>opheilousi),they owe
o-pe-ta,Οφέλτας,Opheltas,name
o-pi/e-pi,οπi/επί,opi/epi,over/on top/in charge of
o-pi-a2-ra,οπίhαλα,opihala,"places by the sea, coastline (>άλιος= of the sea)"
o-pi-de-so-mo,οπίδεσμοι,opidesmoi,binding straps (see also 'de-so-mo')
o-pi-i-ja-pi,οπιίαφι,opiiaphi,parts of the reins
o-pi-ka-pe-e-we,οπισκαφέεFες,opiskapheeves,"overseers of digging operations (σκάμμα= trench, pit)"
o-pi-ke-re-mi-ni-ja/o-pi-ke-re-mi-ja-pi,οπικελέμνια/οπικελέμνιαφι,opikelemnia/ opikelemniaphi,part of decoration (of chairs)
o-pi-ri-mi-ni-jo,Οπιλίμνιος/Οπλίμνιος,Opilimnios/ Oplimnios,personal name
o-pi-su-ko,οπισυγός,opιsygos,'fig- overseer' (see also 'suza')
o-pi-te-te-re,οπιθετήρες,opitheteres,chocks
o-pi-te(-u)-ke-e-u/o-pi-te-u-ke-e-we/o-pi-te-u-ke-we,οπιτε(υ)χεεύς,opite(u)heeus,overseer of weapons (=τεύχεα)
o-po-qo,οπώπω(δυικ.)(όπωποι),opopo (dual) (opopoi),blinders
o-po-ro,ώφλον(>οφεiλω),ophlon (>opheilo),they owed (see also 'o-pe-ro- si')
o-re-i,όρει(όρος),orei (oros),mountain
o-re-ta,Ορέστας,Orestas,personal name
o-ro-me-no,ορόμενος(ορώ),oromenos (oro),watching over
o-ru-ma-to,Ορύμανθος,Orymanthos,place name
o-ti-na-wo,ΟρτίναFος/ΟρτινάFων,Ortinavos/ Ortinavon,personal name
o-te,ότε(>όταν),ote (>otan),when
o-u-di-do-si/o-u-di-do-to,ουδίδονσι/ουδίδονται,ou didonsi/ ou didontoi,they don't giνe/ they are not given (see also 'di-do- si')
o-u/o-u-ki,ου/ουχί(>όχι),ou/ouhi (>ohi),not
o-u-qe,ουκέ(>ούτε),ouke (>oute),neither
(o-u-)te-mi,(ου)τέρμις,(ου) termis,without edges? (see '*te-mi ')
o-u-wo-ze,ουFόρζει,ou vorzeι,not working (see also  'wo-ze')
o-wi-de-ta-i,οFιδέται(οFιδέτας),ovidetai (ovidetas),religious title ('sheep- flayers?')
o-wi-to-ni-jo,ΟFιτόνιοι,Ovitonioi,ethnic name of 'Ovitnos'
o-wi-to-no,ΌFιτνος,Ovitnos,place name
o-wo-we,οFώFεις(οFός>ους),ovofeis (ovos> ous),"with  'ears,' handles"
pa-da-je-u/pa-da-je-we/pa-da-je-wo,Πανδαγεύς,Pandageus,personal name
pa-di-jo,Πανδίων,Pandion,personal name
pa-i-ti-ja/pa-i-ti-jo,Φαίστια/Φαίστιος,Phaistia/ Phaistios,ethnic name of 'Phaistos'
pa-i-to,Φαιστός,Phaistos,place name
pa-ja-wo-ne,ΠαιαFόνει(ΠαιάFων),Paiawonei (Paiawon),god's name (>related to Apollo?)
pa-ka-na,φάσγανα,phasgana,"small swords, knives"
pa-ke-te-re,πακτήρες,pakteires,pegs
pa-ki-ja-na/pa-ki-ja-na-de/pa-ki-ja-ne/pa-ki-ja-pi/pa-ki-ja-si,Φασγιαναi/Σφαγιαναί,Phasgianai/ Sphagianai,place name (religious center near Pylos)
pa-ki-ja-ni-ja/pa-ki-ja-ni-jo/pa-ki-ja-ni-jo-i/pa-ki-ja-ni-jo-jo,Φασγιανία(ι)/Σφαγιανία(ι)/Φασγιανίοι/Σφαγιανίοι,Phasgiania(i)/ Sphagiania(i)/ Phasgianioi/ Sphagianioi,ethnic name of 'Phasgianai/ Sphagianai'
pa-ko-si-jo(-jo),Σφακοσίοιο(Σφακόσιος),Sphakosioio (Sphakosios),personal name
pa-ko-we,σφακόFεν,sfakofen,made with siege (plant)
pa-ku-ro2,Παγχυλίων,Panhylion,personal name
pa-ma-ko,φάρμακον;,pharmakon?,medicine
pa-ra-jo,Παραίος/παλαιός,Paraios/palaios,personal name/old
pa-ra-ku/pa-ra-ku-ja/*56-ra-ku-ja,>βαρακίς,> varakis,dye- substance
pa-ro,παρό(>παρά),paro (>para),"to whom, 'chez'"
