id,document_name,link,findspot,scribe,palmprint,chronology,museum_inventory_number,signs,words
1,KN Nc 4470[+]5109,https://liber.cnr.it/tablet/view/1,(L) Arsenal,133,,LM III A2,Herakleion M. 1600 [+] 1604,4,1
3,KN Nc 4474+frr.(3),https://liber.cnr.it/tablet/view/3,(L) Arsenal,133,,LM III A2,Herakleion M. 1458,6,3
4,KN Nc 4475,https://liber.cnr.it/tablet/view/4,(L) Arsenal,133?,,LM III A2,Herakleion M.,2,1
5,KN Nc 4479,https://liber.cnr.it/tablet/view/5,(L) Arsenal,133,,LM III A2,Herakleion M. 1451,5,4
6,KN Nc 4480+8252,https://liber.cnr.it/tablet/view/6,(L) Arsenal,133,,LM III A2,Herakleion M. 1467,4,2
9,KN Nc 4484[+]4488+fr.,https://liber.cnr.it/tablet/view/9,(L) Arsenal,133,,LM III A2,Herakleion M. 1471 [+] 1567,13,5
10,KN Nc 4485,https://liber.cnr.it/tablet/view/10,(L) Arsenal,133,,LM III A2,Herakleion M. 1585,3,1
11,KN Nc 4489+8185+8188+fr.,https://liber.cnr.it/tablet/view/11,(L) Arsenal,133,,LM III A2,Herakleion M. 1576 + 1580 + 1587,6,2
12,KN Nc 4490+5099,https://liber.cnr.it/tablet/view/12,(L) Arsenal,133,,LM III A2,Herakleion M. 1473 + 1562,5,3
1116,KN Xd 8566,https://liber.cnr.it/tablet/view/1116,,,124,,,Herakleion M.,1,1
1117,KN Xd 8583,https://liber.cnr.it/tablet/view/1117,,,124-1?,,,Herakleion M.,1,1
1118,KN Xd 8596,https://liber.cnr.it/tablet/view/1118,,,124,,,Herakleion M.,1,1
1119,KN Xd 8597,https://liber.cnr.it/tablet/view/1119,,,124,,,Herakleion M.,2,1
1120,KN Xd 8605,https://liber.cnr.it/tablet/view/1120,,,124-2?,,,Herakleion M.,3,1
1121,KN Xd 8635,https://liber.cnr.it/tablet/view/1121,,,124,,,Herakleion M.,1,1
1122,KN Xd 8638,https://liber.cnr.it/tablet/view/1122,,,124?,,,Herakleion M.,1,1
1123,KN Xd(5) 8640+fr.,https://liber.cnr.it/tablet/view/1123,,,124-S,,,Herakleion M.,1,1
1124,KN Xd 8653,https://liber.cnr.it/tablet/view/1124,,,124,,,Herakleion M.,3,2
1125,KN Xd 8686,https://liber.cnr.it/tablet/view/1125,,,124?,,,Herakleion M.,1,1
1126,KN Xd 8734,https://liber.cnr.it/tablet/view/1126,,,124,,,Herakleion M.,2,1
1127,KN Xd 8748+fr.,https://liber.cnr.it/tablet/view/1127,,,124?,,,Herakleion M.,2,2
1128,KN Xd 8751,https://liber.cnr.it/tablet/view/1128,,,124,,,Herakleion M.,2,2
1129,KN Xd 8760,https://liber.cnr.it/tablet/view/1129,,,124,,,Herakleion M.,1,1
1130,KN Xd 8761,https://liber.cnr.it/tablet/view/1130,,,124,,,Herakleion M.,1,1
1131,KN Xd 8813,https://liber.cnr.it/tablet/view/1131,,,124,,,Herakleion M.,1,1
1132,KN Xd 8820,https://liber.cnr.it/tablet/view/1132,,,124?,,,Herakleion M.,1,1
1133,KN Xd 8821,https://liber.cnr.it/tablet/view/1133,,,124?,,,Herakleion M.,1,1
1134,KN Xd 8828,https://liber.cnr.it/tablet/view/1134,,,124,,,Herakleion M.,1,1
1135,KN Xd 8829,https://liber.cnr.it/tablet/view/1135,,,124?,,,Herakleion M.,1,1
1136,KN Xd 8837,https://liber.cnr.it/tablet/view/1136,,,124,,,Herakleion M.,1,1
1137,KN Xd 9009,https://liber.cnr.it/tablet/view/1137,,,124?,,,Herakleion M.,1,1
1138,KN Xd 9010,https://liber.cnr.it/tablet/view/1138,,,124?,,,Herakleion M.,1,1
1139,KN Xd 9037,https://liber.cnr.it/tablet/view/1139,,,124?,,,Herakleion M.,0,0
1140,KN Xd 9061,https://liber.cnr.it/tablet/view/1140,,,124?,,,Herakleion M.,0,0
1142,KN Xd 9125,https://liber.cnr.it/tablet/view/1142,,,124,,,Herakleion M.,2,1
1143,KN Xd 9126,https://liber.cnr.it/tablet/view/1143,,,124-2?,,,Herakleion M.,2,1
1144,KN Sc(6) 9127,https://liber.cnr.it/tablet/view/1144,,,124-R,,,Herakleion M.,2,1
1145,KN Xd 9129,https://liber.cnr.it/tablet/view/1145,,,124?,,,Herakleion M.,3,2
1146,KN Xd 9130,https://liber.cnr.it/tablet/view/1146,,,124,,,Herakleion M.,2,1
1147,KN Xd 9131,https://liber.cnr.it/tablet/view/1147,,,124-2?,,,Herakleion M.,2,1
1148,KN Xd 9132,https://liber.cnr.it/tablet/view/1148,,,124,,,Herakleion M.,1,1
1149,KN Xd 9134,https://liber.cnr.it/tablet/view/1149,,,124,,,Herakleion M.,2,2
1150,KN Vc(5) 9135,https://liber.cnr.it/tablet/view/1150,,,124-S?,,,Herakleion M.,3,2
1151,KN Sc 9136,https://liber.cnr.it/tablet/view/1151,,,124,,,Herakleion M.,1,1
1152,KN Xd 9137,https://liber.cnr.it/tablet/view/1152,,,124,,,Herakleion M.,0,0
1153,KN Xd 9138,https://liber.cnr.it/tablet/view/1153,,,124-2,,,Herakleion M.,3,2
1154,KN Xd 9139,https://liber.cnr.it/tablet/view/1154,,,124,,,Herakleion M.,1,1
1155,KN Xd 9140,https://liber.cnr.it/tablet/view/1155,,,124??,,,Herakleion M.,1,1
1156,KN Xd 9141,https://liber.cnr.it/tablet/view/1156,,,124,,,Herakleion M.,1,1
1157,KN Sc 9143,https://liber.cnr.it/tablet/view/1157,,,124,,,Herakleion M.,3,3
1158,KN Xd 9144,https://liber.cnr.it/tablet/view/1158,,,124?,,,Herakleion M.,1,1
1159,KN Xd 9145,https://liber.cnr.it/tablet/view/1159,,,124,,,Herakleion M.,0,0
1160,KN Xd 9146,https://liber.cnr.it/tablet/view/1160,,,124?,,,Herakleion M.,0,0
1161,KN Xd 9147,https://liber.cnr.it/tablet/view/1161,,,124,,,Herakleion M.,0,0
1162,KN Xd 9148,https://liber.cnr.it/tablet/view/1162,,,124,,,Herakleion M.,1,1
1163,KN Xd 9150,https://liber.cnr.it/tablet/view/1163,,,124,,,Herakleion M.,0,0
1164,KN Xd 9151,https://liber.cnr.it/tablet/view/1164,,,124,,,Herakleion M.,0,0
1165,KN Xd 9152,https://liber.cnr.it/tablet/view/1165,,,124?,,,Herakleion M.,0,0
1166,KN Xd 9153,https://liber.cnr.it/tablet/view/1166,,,124,,,Herakleion M.,1,1
1167,KN Xd 9158,https://liber.cnr.it/tablet/view/1167,,,124,,,Herakleion M.,1,1
1168,KN Xd 9159,https://liber.cnr.it/tablet/view/1168,,,124,,,Herakleion M.,1,1
1169,KN Xd 9160,https://liber.cnr.it/tablet/view/1169,,,124,,,Herakleion M.,0,0
1170,KN Sc 9161,https://liber.cnr.it/tablet/view/1170,,,124,,,Herakleion M.,0,0
1171,KN Xd 9162,https://liber.cnr.it/tablet/view/1171,,,124,,,Herakleion M.,0,0
1172,KN Xd 9164,https://liber.cnr.it/tablet/view/1172,,,124,,,Herakleion M.,0,0
1173,KN Xd 9165,https://liber.cnr.it/tablet/view/1173,,,124,,,Herakleion M.,0,0
1174,KN Xd 9166,https://liber.cnr.it/tablet/view/1174,,,124,,,Herakleion M.,0,0
1175,KN Xd 9167,https://liber.cnr.it/tablet/view/1175,,,124,,,Herakleion M.,0,0
1176,KN Xd 9168,https://liber.cnr.it/tablet/view/1176,,,124?,,,Herakleion M.,0,0
1177,KN Xd 9169,https://liber.cnr.it/tablet/view/1177,,,124,,,Herakleion M.,0,0
1178,KN Xd 9170,https://liber.cnr.it/tablet/view/1178,,,124,,,Herakleion M.,0,0
1179,KN Xd 9171,https://liber.cnr.it/tablet/view/1179,,,124,,,Herakleion M.,0,0
1180,KN Xd 9172,https://liber.cnr.it/tablet/view/1180,,,124?,,,Herakleion M.,0,0
1181,KN Xd 10001,https://liber.cnr.it/tablet/view/1181,,,124?,,,Herakleion M.,0,0
1182,KN U 1539[+]1813 (1813 = 1539 bis),https://liber.cnr.it/tablet/view/1182,"(J4) Queen’s Megaron Minos 31-32, p. 64; Minos 35-36, p. 91, 252 (ex J4?)","Minos 31-32, p. 64; Minos 35-36, p. 91, 252 (ex J4?)",,,LM III A2,Herakleion M. 708,5,3
1183,KN X 35,https://liber.cnr.it/tablet/view/1183,(B1) S. of S.W. Pillar Room,,,LM III A2,Herakleion M. 481,5,1
1184,KN X 37,https://liber.cnr.it/tablet/view/1184,(B1) S. of S.W. Pillar Room,,,LM III A2,Herakleion M. 1169,4,1
1185,KN X 38,https://liber.cnr.it/tablet/view/1185,(B1) S. of S.W. Pillar Room,,L alpha,LM III A2,Herakleion M. 1169,2,1
1186,KN X 39,https://liber.cnr.it/tablet/view/1186,"(B1) S. of S.W. Pillar Room Minos 31-32, p. 18, 88; Minos 35-36, p. 130, 192 (ex B1?)","Minos 31-32, p. 18, 88; Minos 35-36, p. 130, 192 (ex B1?)",,,LM III A2,Herakleion M. 1169,3,1
1187,KN Od 44,https://liber.cnr.it/tablet/view/1187,(B4) Area Beyond W. Wall,,Anonymos I,LM III A2,Herakleion M. 872,7,3
1188,KN X 408,https://liber.cnr.it/tablet/view/1188,"(I3) Area of Bull Relief Minos 31-32, p. 44, 47, 105; Minos 35-36, p. 87, 226 (ex E1bis? I3?)","Minos 31-32, p. 44, 47, 105; Minos 35-36, p. 87, 226 (ex E1bis? I3?)",,,LM III A2,Herakleion M. 539,6,2
1189,KN Ga(3) 409,https://liber.cnr.it/tablet/view/1189,(F3) W. Magazine IV,223?,,LM III A2,Herakleion M. 1024,10,3
1190,KN X 410,https://liber.cnr.it/tablet/view/1190,"(F2) W. Magazine III Minos 31-32, p. 97; Minos 35-36, p.170 (ex B?)","Minos 31-32, p. 97; Minos 35-36, p.170 (ex B?)",,,LM III A2,Herakleion M. 905,8,2
1191,KN X 430,https://liber.cnr.it/tablet/view/1191,(E5) Corridor of House Tablets,,,LM III A2,Herakleion M. 427,3,1
1192,KN X 435,https://liber.cnr.it/tablet/view/1192,(E6) Room of Niche,,,LM III A2,Herakleion M.,4,1
1193,KN X 443,https://liber.cnr.it/tablet/view/1193,(F1) W. Magazine II,,,LM III A2,Herakleion M. 1083,2,1
1194,KN X 444,https://liber.cnr.it/tablet/view/1194,(F1) W. Magazine II,,,LM III A2,Herakleion M. 1083,6,2
1195,KN X 450+5802,https://liber.cnr.it/tablet/view/1195,(F2) W. Magazine III,,,LM III A2,Herakleion M. 902,6,3
1196,KN X 451,https://liber.cnr.it/tablet/view/1196,"(F2) W. Magazine III Minos 31-32, p. 97; Minos 35-36, p. 86, 172 (ex F2? F3?)","Minos 31-32, p. 97; Minos 35-36, p. 86, 172 (ex F2? F3?)",,,LM III A2,Herakleion M. 1083,7,2
1197,KN X 453,https://liber.cnr.it/tablet/view/1197,(F3) W. Magazine IV,138?,,LM III A2,Herakleion M. 1063,9,3
1198,KN X 458,https://liber.cnr.it/tablet/view/1198,(F3) W. Magazine IV,,,LM III A2,Herakleion M. 1083,4,2
1200,KN X 459,https://liber.cnr.it/tablet/view/1200,(F3) W. Magazine IV,,,LM III A2,Herakleion M. 1083,3,1
1201,KN Ga(3) 468,https://liber.cnr.it/tablet/view/1201,(F3) W. Magazine IV,223?,,LM III A2,Herakleion M. 1020,6,2
1202,KN X ‹506›,https://liber.cnr.it/tablet/view/1202,(F7) W. Magazine VIII,,,LM III A2,,7,3
1203,KN X 522,https://liber.cnr.it/tablet/view/1203,(F8) W. Magazine IX,,,LM III A2,Herakleion M. 1145,4,2
1204,KN X 658,https://liber.cnr.it/tablet/view/1204,"(J1) E.W. Corridor Minos 35-36, p. 90","Minos 35-36, p. 90",,,,Herakleion M. 372,10,4
1205,KN X 660,https://liber.cnr.it/tablet/view/1205,"(F14) W. Magazine XV Minos 31-32, p. 81; Minos 35-36, p. 127, 232 (ex F14?)","Minos 31-32, p. 81; Minos 35-36, p. 127, 232 (ex F14?)",,,LM III A2,Herakleion M. 1542,6,3
1206,KN X 697,https://liber.cnr.it/tablet/view/1206,(F19) N.W. Passage,,,LM III A2,Herakleion M. 944,10,3
1207,KN X 721,https://liber.cnr.it/tablet/view/1207,(G1) Gallery of Jewel Fresco,,,LM III A2,Herakleion M. 1169,3,1
1208,KN X 722+725,https://liber.cnr.it/tablet/view/1208,(G1) Gallery of Jewel Fresco,,,LM III A2,Herakleion M. 478 + 494,14,6
1209,KN X 723,https://liber.cnr.it/tablet/view/1209,(G1) Gallery of Jewel Fresco,,,LM III A2,Herakleion M. 484,5,1
1210,KN L 728,https://liber.cnr.it/tablet/view/1210,"(G2) Room E. of Gallery of Jewel Fresco Minos 31-32, p. 104; Minos 35-36, p. 236 (ex G3)","Minos 31-32, p. 104; Minos 35-36, p. 236 (ex G3)",,,LM III A2,Herakleion M. 489,14,5
1211,KN X 737,https://liber.cnr.it/tablet/view/1211,(H2) Throne Room,,,LM III A2,Herakleion M. 1083,4,2
1212,KN X 742,https://liber.cnr.it/tablet/view/1212,"(H3) Corridor of Stone Basin ? Minos 31-32, p. 43, 104; Minos 35-36, p. 86, 109, 197","? Minos 31-32, p. 43, 104; Minos 35-36, p. 86, 109, 197",,,LM III A2,Herakleion M. 1033,3,2
1213,KN X 743,https://liber.cnr.it/tablet/view/1213,(H4) Space S. of Bath Corridor,,,LM III A2,Herakleion M. 513,6,2
1214,KN X 744+7755,https://liber.cnr.it/tablet/view/1214,(H4) Space S. of Bath Corridor,,,LM III A2,Herakleion M. 510,7,2
1215,KN X ‹748›,https://liber.cnr.it/tablet/view/1215,"(H5) Under blocked Doorway of Room behind Throne Room Minos 31-32, p. 104; Minos 35-36, p. 127, 200-201 (ex F19? H3? H6?)","Minos 31-32, p. 104; Minos 35-36, p. 127, 200-201 (ex F19? H3? H6?)",,,LM III A2,,7,4
1216,KN X 766,https://liber.cnr.it/tablet/view/1216,(I1) Room of Flower Gatherer,,,LM III A2,Herakleion M.,6,3
1217,KN X 768,https://liber.cnr.it/tablet/view/1217,(I1) Room of Flower Gatherer,,,LM III A2,Herakleion M. 518,9,2
1218,KN X 770,https://liber.cnr.it/tablet/view/1218,(I4) Area of Bügelkannes,,,LM III A2,Herakleion M. 482,10,3
1219,KN X 793,https://liber.cnr.it/tablet/view/1219,(I2) Spiral Cornice Room,,,LM III A2,Herakleion M. 511,6,2
1220,KN X 795,https://liber.cnr.it/tablet/view/1220,(I2) Spiral Cornice Room,,,LM III A2,Herakleion M. 512,5,2
1221,KN X 796,https://liber.cnr.it/tablet/view/1221,(I2) Spiral Cornice Room,,,LM III A2,Herakleion M. 509,3,1
1222,KN X 974+5742,https://liber.cnr.it/tablet/view/1222,"(I3) Area of Bull Relief Minos 31-32, p. 80, 110; Minos 35-36, p. 226 (ex I3?)","Minos 31-32, p. 80, 110; Minos 35-36, p. 226 (ex I3?)",,,LM III A2,Herakleion M.,17,5
1223,KN X 976+8263,https://liber.cnr.it/tablet/view/1223,(I3) Area of Bull Relief,225,,LM III A2,Herakleion M. 669,14,4
1224,KN X 986,https://liber.cnr.it/tablet/view/1224,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 687,4,1
1225,KN X 993,https://liber.cnr.it/tablet/view/1225,(F18) N. end of Long Corridor,,,LM III A2,Herakleion M. 873,4,1
1226,KN Fh 998,https://liber.cnr.it/tablet/view/1226,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 877,5,3
1227,KN X 999+1001,https://liber.cnr.it/tablet/view/1227,"(I3) Area of Bull Relief Minos 31-32, p. 48 (ex I3: 999; I2? I3?: 1001)","Minos 31-32, p. 48 (ex I3: 999; I2? I3?: 1001)",,,LM III A2,Herakleion M. 1103 + 1023,9,4
1228,KN X 1010,https://liber.cnr.it/tablet/view/1228,"(I3) Area of Bull Relief Minos 31-32, p. 80, 110; Minos 35-36, p. 226 (ex I3?)","Minos 31-32, p. 80, 110; Minos 35-36, p. 226 (ex I3?)",,,LM III A2,Herakleion M.,2,1
1229,KN X 1013,https://liber.cnr.it/tablet/view/1229,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 694,4,1
1230,KN X 1014,https://liber.cnr.it/tablet/view/1230,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 694,6,2
1231,KN X 1018,https://liber.cnr.it/tablet/view/1231,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 522,10,3
1232,KN X 1019,https://liber.cnr.it/tablet/view/1232,"(I3) Area of Bull Relief Minos 31-32, p. 80, 110; Minos 35-36, p. 226 (ex I3?)","Minos 31-32, p. 80, 110; Minos 35-36, p. 226 (ex I3?)",,,LM III A2,Herakleion M.,5,2
1233,KN X ‹1027›,https://liber.cnr.it/tablet/view/1233,"(I3) Area of Bull Relief Minos 31-32, p. 109; Minos 35-36, p. 226","Minos 31-32, p. 109; Minos 35-36, p. 226",,,LM III A2,,9,3
1234,KN X ‹1033›,https://liber.cnr.it/tablet/view/1234,(I3) Area of Bull Relief,,,LM III A2,,3,1
1235,KN X 1041,https://liber.cnr.it/tablet/view/1235,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 689,3,1
1236,KN X 1045,https://liber.cnr.it/tablet/view/1236,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 543,5,2
1237,KN X 1047,https://liber.cnr.it/tablet/view/1237,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 1183,11,4
1238,KN X 1050,https://liber.cnr.it/tablet/view/1238,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 543,4,2
1239,KN X 1051,https://liber.cnr.it/tablet/view/1239,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 688,8,2
1240,KN Ga(5) 1385+1537,https://liber.cnr.it/tablet/view/1240,"(J4) Queen’s Megaron Minos 31-32, p. 60, 64-65; Minos 35-36, p. 91, 98, 252 (ex J1)","Minos 31-32, p. 60, 64-65; Minos 35-36, p. 91, 98, 252 (ex J1)",221,,LM III A2,Herakleion M. 658 + 708,7,2
1241,KN X 1432,https://liber.cnr.it/tablet/view/1241,(J1) E.W. Corridor,,,LM III A2,Herakleion M. 391,5,2
1242,KN X 1463,https://liber.cnr.it/tablet/view/1242,(J1) E.W. Corridor,,,LM III A2,Herakleion M. 331,5,2
1244,KN X 1478,https://liber.cnr.it/tablet/view/1244,(J1) E.W. Corridor,,,LM III A2,Herakleion M. 658,3,1
1245,KN X 1525,https://liber.cnr.it/tablet/view/1245,"(J3) Corridor of Sword Tablets Minos 35-36, p. 249 (ex J3?)","Minos 35-36, p. 249 (ex J3?)",,,LM III A2,Herakleion M. 708,10,3
1246,KN Ga(5) 1538,https://liber.cnr.it/tablet/view/1246,(J4) Queen’s Megaron,221?,,LM III A2,Herakleion M. 708,6,3
1247,KN X 1581,https://liber.cnr.it/tablet/view/1247,"(I2) Spiral Cornice Room Minos 31-32, p. 44, 105; Minos 35-36, p. 87, 118 (ex —)","Minos 31-32, p. 44, 105; Minos 35-36, p. 87, 118 (ex —)",,,,Herakleion M. 518,6,3
1248,KN Xg ‹1641›,https://liber.cnr.it/tablet/view/1248,(M) Little Palace,,,LM III A2,Kanellopoulos Collection Athens,6,2
1249,KN Xg ‹1642›,https://liber.cnr.it/tablet/view/1249,(M) Little Palace,,,LM III A2,,2,1
1250,KN X 1801+37 bis+frr.(3) (1801 = 36 bis),https://liber.cnr.it/tablet/view/1250,"(B2) S.W. Pillar Room Minos 31-32, p. 88; Minos 35-36, p. 84, 192-193 (ex B1)","Minos 31-32, p. 88; Minos 35-36, p. 84, 192-193 (ex B1)",,,LM III A2,Herakleion M. 922,8,4
1251,KN X 1802 (= 41 bis),https://liber.cnr.it/tablet/view/1251,"(F15) Corridor of Stone Jambs Minos 31-32, p. 97; Minos 35-36, p. 84, 172 (ex F15?)","Minos 31-32, p. 97; Minos 35-36, p. 84, 172 (ex F15?)",,,LM III A2,Herakleion M. 922,2,1
1252,KN Xg ‹1901›,https://liber.cnr.it/tablet/view/1252,(M) Little Palace,,,LM III A2,,2,1
1253,KN X 2002,https://liber.cnr.it/tablet/view/1253,,,,,,Herakleion M.,4,2
1254,KN X 2003,https://liber.cnr.it/tablet/view/1254,,,,,,Herakleion M.,4,2
1255,KN Dp 2011,https://liber.cnr.it/tablet/view/1255,,,117?,,,Herakleion M.,1,1
1256,KN Xf 2128,https://liber.cnr.it/tablet/view/1256,"— Minos 33-34, p. 127 [perhaps L] (ex M)","Minos 33-34, p. 127 [perhaps L] (ex M)",,,,Herakleion M.,5,3
1257,KN X 2131+fr.,https://liber.cnr.it/tablet/view/1257,,,,,,Herakleion M.,1,1
1258,KN X 2132,https://liber.cnr.it/tablet/view/1258,,,,,,Herakleion M.,3,1
1259,KN X 2134,https://liber.cnr.it/tablet/view/1259,,,,,,Herakleion M.,1,1
1260,KN X 5006,https://liber.cnr.it/tablet/view/1260,,,,,,Herakleion M. 864,7,3
1261,KN X 5033,https://liber.cnr.it/tablet/view/1261,"(F7) W. Magazine VIII Minos 31-32, p. 99; Minos 35-36, p. 86, 110, 212 (ex —)","Minos 31-32, p. 99; Minos 35-36, p. 86, 110, 212 (ex —)",,,,Herakleion M. 1031,2,1
1262,KN X 5034,https://liber.cnr.it/tablet/view/1262,,,,,,Herakleion M. 708,0,0
1263,KN Ak(2) 5037,https://liber.cnr.it/tablet/view/1263,(F6) W. Magazine VII Minos 35-36. p. 215 (ex —),Minos 35-36. p. 215 (ex —),108?,,,Herakleion M. 1047,2,2
1264,KN X 5040+7600,https://liber.cnr.it/tablet/view/1264,"(I1) Room of Flower Gatherer Minos 31-32, p. 111; Minos 35-36, p. 86, 219 (ex —)","Minos 31-32, p. 111; Minos 35-36, p. 86, 219 (ex —)",,,,Herakleion M. 1047,8,3
1265,KN Dn 5042,https://liber.cnr.it/tablet/view/1265,"(J1) E.W. Corridor Minos 31-32, p. 60-61; Minos 35-36, p. 91 (ex —)","Minos 31-32, p. 60-61; Minos 35-36, p. 91 (ex —)",117?,,,Herakleion M.,1,1
1266,KN X 5044,https://liber.cnr.it/tablet/view/1266,,,,,,Herakleion M. 708,2,1
1268,KN X 5074,https://liber.cnr.it/tablet/view/1268,,,,,,Herakleion M. 1246,2,1
1269,KN X 5173,https://liber.cnr.it/tablet/view/1269,,,,,,Herakleion M.,3,2
1270,KN Dv 5178,https://liber.cnr.it/tablet/view/1270,,,117?,,,Herakleion M. 609,2,1
1271,KN X 5242,https://liber.cnr.it/tablet/view/1271,,,,,,Herakleion M.,1,1
1272,KN X 5309,https://liber.cnr.it/tablet/view/1272,,,,,,Herakleion M.,2,1
1273,KN Dk(2) 5326,https://liber.cnr.it/tablet/view/1273,,,119?,,,Herakleion M.,2,2
1274,KN X 5334+frr.(5),https://liber.cnr.it/tablet/view/1274,,,,,,Herakleion M.,2,1
1275,KN X 5337,https://liber.cnr.it/tablet/view/1275,,,,,,Herakleion M.,1,1
1276,KN Dv 5346,https://liber.cnr.it/tablet/view/1276,,,117?,,,Herakleion M.,2,1
1277,KN X 5422,https://liber.cnr.it/tablet/view/1277,,,,,,Herakleion M.,1,1
1278,KN Fh 5468,https://liber.cnr.it/tablet/view/1278,,,141?,,,Herakleion M.,2,1
1279,KN X 5509,https://liber.cnr.it/tablet/view/1279,,,,,,Herakleion M.,3,2
1280,KN X 5512,https://liber.cnr.it/tablet/view/1280,,,,,,Herakleion M.,2,1
1281,KN X 5513,https://liber.cnr.it/tablet/view/1281,,,,,,Herakleion M.,4,1
1282,KN X 5514,https://liber.cnr.it/tablet/view/1282,,,,,,Herakleion M.,4,1
1283,KN X 5516,https://liber.cnr.it/tablet/view/1283,,,,,,Herakleion M.,2,1
1284,KN X 5521,https://liber.cnr.it/tablet/view/1284,,,,,,Herakleion M.,2,1
1285,KN X 5522,https://liber.cnr.it/tablet/view/1285,,,,,,Herakleion M.,2,1
1286,KN X 5525,https://liber.cnr.it/tablet/view/1286,,,,,,Herakleion M.,4,2
1287,KN X 5529,https://liber.cnr.it/tablet/view/1287,,,,,,Herakleion M.,3,2
1288,KN X 5531,https://liber.cnr.it/tablet/view/1288,,,,,,Herakleion M.,3,1
1289,KN X 5534,https://liber.cnr.it/tablet/view/1289,,,,,,Herakleion M.,2,1
1290,KN X 5537,https://liber.cnr.it/tablet/view/1290,,,,,,Herakleion M.,2,1
1291,KN X 5554,https://liber.cnr.it/tablet/view/1291,,,,,,Herakleion M.,1,1
1292,KN X 5560,https://liber.cnr.it/tablet/view/1292,,,,,,Herakleion M.,5,2
1293,KN X 5570,https://liber.cnr.it/tablet/view/1293,,,,,,Herakleion M.,3,2
1294,KN X 5577,https://liber.cnr.it/tablet/view/1294,,,,,,Herakleion M.,4,1
1295,KN X 5578,https://liber.cnr.it/tablet/view/1295,,,,,,Herakleion M.,2,1
1296,KN X 5583,https://liber.cnr.it/tablet/view/1296,,,,,,Herakleion M.,2,2
1297,KN X 5586,https://liber.cnr.it/tablet/view/1297,,,,,,Herakleion M.,1,1
1298,KN X 5594,https://liber.cnr.it/tablet/view/1298,,,,,,Herakleion M.,2,1
1299,KN X 5602,https://liber.cnr.it/tablet/view/1299,,,,,,Herakleion M.,1,1
1300,KN X 5603,https://liber.cnr.it/tablet/view/1300,,,,,,Herakleion M.,1,1
1301,KN X 5614,https://liber.cnr.it/tablet/view/1301,,,,,,Herakleion M.,1,1
1302,KN X 5617,https://liber.cnr.it/tablet/view/1302,,,,,,Herakleion M.,3,1
1303,KN X 5673,https://liber.cnr.it/tablet/view/1303,,,,,,Herakleion M.,1,1
1304,KN X 5699,https://liber.cnr.it/tablet/view/1304,,,,,,Herakleion M.,1,1
1305,KN X 5716,https://liber.cnr.it/tablet/view/1305,,,,,,Herakleion M.,2,1
1306,KN X 5722,https://liber.cnr.it/tablet/view/1306,,,,,,Herakleion M.,3,2
1307,KN X 5723,https://liber.cnr.it/tablet/view/1307,,,,,,Herakleion M.,4,1
1308,KN X 5727,https://liber.cnr.it/tablet/view/1308,,,,,,Herakleion M.,5,2
1309,KN X 5732+8673+fr.,https://liber.cnr.it/tablet/view/1309,,,,,,Herakleion M.,4,1
1310,KN X 5735,https://liber.cnr.it/tablet/view/1310,,,,,,Herakleion M.,1,1
1311,KN Np(2) 5737,https://liber.cnr.it/tablet/view/1311,,,134,,,Herakleion M.,2,1
1312,KN X 5743,https://liber.cnr.it/tablet/view/1312,,,,,,Herakleion M.,4,1
1313,KN Dq(4) 5750+8631,https://liber.cnr.it/tablet/view/1313,,,106?,,,Herakleion M.,3,1
1314,KN X 5751+5986,https://liber.cnr.it/tablet/view/1314,,,,,,Herakleion M.,3,1
1315,KN X 5756,https://liber.cnr.it/tablet/view/1315,,,,,,Herakleion M.,2,1
1316,KN X 5759,https://liber.cnr.it/tablet/view/1316,,,,,,Herakleion M.,4,2
1318,KN X 5784,https://liber.cnr.it/tablet/view/1318,,,,,,Herakleion M.,3,1
1319,KN X 5796+fr.,https://liber.cnr.it/tablet/view/1319,,,,,,Herakleion M.,3,1
1320,KN X 5825,https://liber.cnr.it/tablet/view/1320,,,,,,Herakleion M.,1,1
1321,KN X 5826,https://liber.cnr.it/tablet/view/1321,,,,,,Herakleion M.,1,1
1322,KN X 5832,https://liber.cnr.it/tablet/view/1322,,,,,,Herakleion M.,2,1
1323,KN X 5881+8311,https://liber.cnr.it/tablet/view/1323,,,,,,Herakleion M.,4,2
1324,KN X 5889,https://liber.cnr.it/tablet/view/1324,,,,,,Herakleion M.,2,1
1325,KN X 5897,https://liber.cnr.it/tablet/view/1325,,,,,,Herakleion M.,2,1
1326,KN X 5904,https://liber.cnr.it/tablet/view/1326,,,,,,Herakleion M.,2,1
1327,KN X 5952,https://liber.cnr.it/tablet/view/1327,,,,,,Herakleion M.,3,1
1328,KN X 5960,https://liber.cnr.it/tablet/view/1328,,,,,,Herakleion M.,1,1
