linear_b,word_type,part_of_speech,inflection,confidence,greek,reasoning
di-nu-wa-ta,0,0,2,0.95,δινυfττας,"The word 'di-nu-wa-ta' has the cognate 'δινυfττας', which Chadwick & Ventris identify as an anthroponym. The ending '-ta' suggests an athematic inflection, consistent with the variable nominative endings of athematic nouns. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
di-pa,3,0,2,0.95,δεπας|διπας,"The word 'di-pa' has the Greek cognates 'δεπας' and 'διπας', both meaning 'cup' or 'beaker'. The Linear B word likely represents a similar object. The absence of a clear thematic vowel (-o or -a) and the presence of the cognate δέπας (which is athematic) suggests an athematic inflection. The word is a common noun."
di-pi-se-wi-jo,2,0,0,0.95,διψιεfιος,"The word 'di-pi-se-wi-jo' has the Greek cognate 'διψιεfιος', which refers to a person from 'Dipsos'. This indicates that it is an ethnonym (ethnic group name). The ending '-jo' suggests a thematic noun in -o, indicating a person belonging to that place. Therefore, it's classified as an ethnonym (word_type = 4), a noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
di-pi-si-ja,2,0,1,0.95,διψια,"The word 'di-pi-si-ja' has the Greek cognate 'διψια', and the lexicon entry indicates it's an ethnic name of 'Dipsos'. The ending '-ja' corresponds to the thematic inflection in -a, typical for ethnonyms. Therefore, it's classified as an ethnonym (word_type = 4), a noun (part_of_speech = 0), and with thematic inflection in -a (inflection = 1)."
di-pi-si-je-wi-jo,1,2,0,0.9,διψιεfιος,"The word 'di-pi-si-je-wi-jo' has the cognate 'διψιεfιος'. The lexicon 'person from Dipsos' suggests it's related to a place name (Dipsos). The ending '-jo' suggests it's an adjective derived from the toponym, indicating 'belonging to Dipsos' or 'from Dipsos'. Adjectives follow the same inflection patterns as nouns. The '-o' ending suggests a thematic inflection in -o."
di-pi-si-jo,3,0,0,0.9,διψιος,"The word 'di-pi-si-jo' has the Greek cognate 'διψιος', which means 'thirsty'. The Linear B word likely refers to 'thirsty ones'. The ending '-jo' suggests a thematic noun in -o, possibly dative plural. Therefore, it's a common noun with thematic inflection."
di-pi-so-i,1,0,0,0.95,διψος|διψωι,"The word 'di-pi-so-i' is identified as a toponym (place name) based on the lexicon entry. The cognates 'διψος/διψωι' suggest a connection to a place. The ending '-i' suggests a dative or nominative/plural form, and the thematic inflection in -o is supported by the cognate διψος, which is a thematic noun. The word is therefore classified as a thematic noun in -o."
di-pte-ra,3,0,1,0.95,διπτερα,"The word 'di-pte-ra' corresponds to the Greek word 'διπτερα', which means 'leather hide' or 'writing material'. This is a common noun. The ending '-ra' suggests a thematic noun in -a."
di-pte-ra-po-ro,3,0,0,0.9,διπτεραφορος,"The word 'di-pte-ra-po-ro' has the cognate 'διπτεραφορος', which means 'one wearing hides' or a 'ceremonial title'. This suggests it's a common noun. The ending '-o' indicates a thematic noun in -o."
di-ri-mi-jo,0,0,0,0.9,δριμιος,"The word 'di-ri-mi-jo' has the cognate 'δριμιος'. While δριμιος means 'sharp, pungent', the lexicon entries suggest it could be a theonym. The ending '-jo' suggests a thematic noun in -o, possibly a genitive or dative form. Given the lexicon entries indicating 'god's name', I classify it as a theonym (word_type = 2), a noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
di-ro,1,0,0,0.95,διρος,"The word 'di-ro' has the Greek cognate 'διρος', which is a toponym (place name). The Linear B word ends in '-o', indicating a thematic noun in -o."
di-so,0,0,2,0.95,διος,"The word 'di-so' has the cognate 'διος', which is related to Zeus. It is a theonym (deity name). The ending '-so' suggests a genitive form, and the cognate 'Διος' confirms this. The genitive form of Zeus is athematic, hence inflection 2."
di-u-ja,0,0,1,0.95,διfια|διυια,"The word 'di-u-ja' has Greek cognates 'διfια/διυια'. The lexicon entries suggest it refers to a goddess or a shrine of a goddess. Therefore, it is classified as a theonym (deity name). The ending '-ja' corresponds to the thematic inflection in -a."
di-u-ja-jo,0,0,0,0.95,διfιαιονδε|διυαιον,"The word 'di-u-ja-jo' has cognates 'διfιαιονδε' and 'διυαιον'. The lexicon entry indicates it is related to a sanctuary dedicated to Diyia, suggesting a theonym. The ending '-jo' suggests a thematic noun in -o, likely a genitive or possessive form related to the deity Diyia. The suffix -de should be ignored. Therefore, it's classified as a theonym (2), noun (0), and thematic in -o (0)."
di-u-ja-wo,0,0,0,0.95,διυαfων,"The word 'di-u-ja-wo' has the cognate 'διυαfων', which suggests it is a personal name or related to a priest of 'Difia'. The lexicon confirms this. The ending '-wo' suggests a thematic noun in -o."
di-u-jo,0,0,0,0.95,διfιος|διυος,"The word 'di-u-jo' has cognates 'διfιος/διυος', which are related to Zeus. The lexicon entry confirms it belongs to Zeus. The ending '-jo' suggests a thematic noun in -o, likely a genitive form. Therefore, it's a theonym (deity name), a noun, and thematic in -o."
di-we,0,0,2,0.95,διfει|διfι|ζευς,"The word 'di-we' has cognates Διος/Ζευς (Zeus). The lexicon indicates it's the dative form of Zeus. Therefore, it's a theonym (deity name). The ending '-e' suggests it's an athematic noun in the dative case, as athematic nouns often have a dative ending in -e or -i."
di-we-so,0,0,0,0.9,διfη,"The word 'di-we-so' has the cognate 'διfη', which is likely a personal name. The ending '-so' suggests a thematic noun in -o. Therefore, it is classified as an anthroponym (person name), a noun, and thematic in -o."
di-wi-ja,0,0,1,0.95,διfια,"The word 'di-wi-ja' has the Greek cognate 'διfια'. According to the lexicon, it refers to a priestess of Zeus or a goddess's name. Therefore, it is classified as a theonym (deity name). The ending '-ja' corresponds to the thematic inflection in -a, typical of feminine nouns."
di-wi-ja-jo-de,1,0,0,0.9,διfιαιονδε,"The word 'di-wi-ja-jo-de' has the cognate 'διfιαιονδε'. Removing the suffix '-de', we have 'di-wi-ja-jo', which corresponds to a form related to 'Diyia', a sanctuary. The ending '-jo' suggests a thematic noun in -o, and the word refers to a place (sanctuary), so it's a toponym."
di-wi-ja-me-ro,3,0,0,0.95,δfιαμερον|διημερον|δfιημερον,"The word 'di-wi-ja-me-ro' corresponds to the Greek cognates 'διαμερον', 'διημερον', and 'δfιημερον', meaning 'two-day period'. This indicates it's a common noun referring to a period of time. The ending '-ro' suggests a thematic noun in -o."
di-wi-ja-ta,2,0,1,0.95,διfιαται,"The word 'di-wi-ja-ta' has the cognate 'διfιαται'. Based on the lexicon entries, it is an ethnic/place name. The ending '-ta' suggests a thematic noun in -a, likely a plural form referring to people from a specific place. Therefore, it is classified as an ethnonym (4), a noun (0), with inflection class 1 (thematic in -a)."
di-wi-ja-wo,0,0,0,0.95,διfιαfιον,"The word 'di-wi-ja-wo' has the cognate 'διfιαfιον', which suggests a connection to a deity. The lexicon also mentions a sanctuary dedicated to Diyia. Therefore, it is classified as a theonym. The ending '-wo' suggests a thematic noun in -o."
di-wi-je-ja,0,0,1,0.95,διfια,"The word 'di-wi-je-ja' has the Greek cognate 'διfια'. The lexicon entries suggest it could be a priestess of Zeus or a goddess's name. Given the cognate and the -a ending, it is likely a theonym (goddess's name) and a thematic noun in -a."
di-wi-je-u,0,0,2,0.95,διfιευς,"The word 'di-wi-je-u' has the Greek cognate 'διfιευς', which is related to Zeus. The lexicon entries also suggest a connection to Zeus, either as a personal name or a priest of Zeus. Given the cognate and lexicon information, it is most likely a theonym (deity name). The ending '-u' suggests an athematic inflection, similar to other athematic nouns like 'a-ke-re-u' (hunter) and 'ka-ke-u' (bronze-smith). The cognate διfιευς is an athematic noun."
di-wi-je-we,0,0,2,0.95,διfιευς,"The word 'di-wi-je-we' has the Greek cognate 'διfιευς', which is likely a variant of 'Διεύς', a name associated with Zeus. The lexicon entry also suggests it's a personal name or priest of Zeus. The ending '-we' doesn't directly correspond to any thematic inflection. However, considering the cognate and the lexicon information, it's most likely an anthroponym (personal name) and an athematic noun. The cognate suggests a form related to Zeus, and athematic nouns can have variable endings. The -ευς ending in the cognate suggests an athematic declension."
di-wi-jo,0,0,0,0.95,διfιον|διfιος,"The word 'di-wi-jo' has Greek cognates 'διfιον' and 'διfιος', which relate to Zeus. The lexicon entries also suggest a connection to Zeus or a sanctuary dedicated to him. Therefore, it is classified as a theonym. The ending '-o' suggests a thematic noun in -o."
di-wi-jo-de,0,3,-1,0.95,διfιονδε,"The word 'di-wi-jo-de' has the cognate 'διfιονδε'. The suffix '-de' is an allative/demonstrative suffix. 'διfιον' is the genitive of Zeus, so 'διfιονδε' means 'to Zeus' or 'towards Zeus'. Therefore, it is an adverbial phrase indicating direction towards Zeus. Since it's an adverb, inflection is -1."
di-wi-jo-jo,0,0,0,0.95,διfιονιο,"The word 'di-wi-jo-jo' has the cognate 'Δϊωνιο'. The lexicon entries suggest a connection to Zeus. The ending '-jo-jo' corresponds to the genitive case of a thematic noun in -o. Therefore, it's a theonym (deity name), a noun, and has a thematic inflection in -o."
di-wo,0,0,0,0.95,διfων|διfος|ζευς|διας,"The word 'di-wo' is identified as a theonym, referring to Zeus. The cognates 'διfων|διfος|ζευς|διας' and lexicon entries confirm this. The ending '-o' suggests a thematic noun in -o, likely nominative or vocative singular."
di-wo-i-je-we,0,0,2,0.95,διοςιεfει|διfοσυιfει,"The word 'di-wo-i-je-we' has cognates 'διοςιεfει|διfοσυιfει' and lexicon entry 'to the Son of Zeus'. This indicates it's a theonym (deity name). The ending '-we' suggests a dative form, and the cognates suggest a form related to 'Διος' (Zeus). The dative form of Zeus is athematic, so the inflection is 2."
di-wo-ni-so-jo,0,0,0,0.95,διfονυσοιο|διfονυσος|διονυσος,"The word 'di-wo-ni-so-jo' has the cognates 'διfονυσοιο|διfονυσος|διονυσος', indicating it is related to the god Dionysus. The lexicon confirms it is a god's name. The ending '-jo' corresponds to the genitive singular of thematic nouns in -o, indicating a theonym (deity name) in the genitive case. Therefore, it's a thematic noun in -o."
di-wo-nu-so,0,0,0,0.95,διfωνυσος,"The word 'di-wo-nu-so' has the Greek cognate 'Διόνυσος', which is Dionysus, a theonym (deity name). The Linear B word ends in '-o', which suggests a thematic noun in -o. The lexicon also confirms it is a theonym."
di-wo-nu-so-jo,0,0,0,0.95,διfωνυσος|διfωνυσοιο,"The word 'di-wo-nu-so-jo' has the cognate 'διfωνυσοιο', which is a form of Dionysus. The Linear B word ends in '-jo', which corresponds to the genitive singular ending '-ojo' for thematic nouns in -o. Therefore, it's a theonym (deity name), a noun, and has a thematic inflection in -o."
di-zo,0,0,0,0.9,διζος,The word 'di-zo' has the Greek cognate 'διζος'. Chadwick & Ventris identify it as an anthroponym. The ending '-o' suggests it is a thematic noun in -o.
do-de,3,3,-1,0.95,δονδε|δω|δομονδε,"The word 'do-de' has cognates δονδε, δω, and δομονδε. The lexicon entries also suggest a meaning related to 'to the house of'. The suffix '-de' is an allative suffix, indicating direction 'to'. Therefore, 'do-de' is classified as an adverb indicating direction. Since it's an adverb, inflection is -1."
do-e-ra,3,0,1,0.95,δοελα|δουλη,"The word 'do-e-ra' corresponds to the Greek word 'δουλη' (doule), meaning 'female slave'. This is a common noun. The ending '-a' suggests that it is a thematic noun in -a."
do-e-ro,3,0,0,0.95,δοελος|δουλος,"The word 'do-e-ro' has the Greek cognate 'δουλος' (doulos), meaning 'slave'. This indicates it is a common noun. The ending '-o' suggests it is a thematic noun in -o."
do-e-ro-i,3,0,0,0.95,δοελοι|δουλοι,"The word 'do-e-ro-i' has the Greek cognates 'δοελοι/δουλοι' meaning 'slaves'. The lexicon entry confirms this meaning. The ending '-oi' suggests a plural form, and the word is a common noun. The ending '-o' is characteristic of thematic nouns, so the inflection is classified as 0."
do-e-ro-jo,3,0,0,0.95,δοελοιο|δουλου,"The word 'do-e-ro-jo' has the cognates 'δοελοιο' and 'δουλου'. 'δουλος' means 'slave'. The ending '-ojo' corresponds to the genitive singular of thematic nouns in -o. Therefore, 'do-e-ro-jo' is a common noun in the genitive case, and its inflection is thematic in -o."
do-ke-u,0,0,2,0.9,δοκευω,"The word 'do-ke-u' has the cognate 'δοκευω'. However, the Linear B word ends in '-u', which suggests an athematic inflection. The cognate 'δοκευς' (δοκευς) meaning 'watcher, observer' is a better fit, indicating an anthroponym (person name) with an athematic inflection. The -u ending is characteristic of athematic nouns."
do-ma,3,0,0,0.95,δομος|δωμα,"The word 'do-ma' has the Greek cognates 'δομος' and 'δωμα'. Both refer to 'house' or 'building'. The Linear B word ends in '-ma', which corresponds to the thematic -o declension for neuter nouns (δωμα) or masculine nouns (δομος). Therefore, it's a common noun with thematic inflection in -o."
do-po-ta,0,0,0,0.95,δοσποτα,"The word 'do-po-ta' has the Greek cognate 'δεσπότης', which means 'master' or 'lord'. The lexicon entry 'goddess' s name' and 'to the Master' suggest it could be a theonym or a title. Given the ending '-ta' and the cognate 'δεσπότης', it is likely a thematic noun in -o (altered by the presence of a consonant before the suffix). Therefore, it is classified as a theonym (or a title used for deities) and a thematic noun in -o."
do-qe-ja,3,0,1,0.85,δορπεια|δορπευς,"The word 'do-qe-ja' has cognates 'δορπεια' and 'δορπευς'. 'δορπεια' can be interpreted as a feminine noun in the plural form, or a neuter noun in the plural form. 'δορπευς' is a masculine noun. The Linear B word ends in '-ja', which corresponds to the '-a' suffix in the declension table for thematic nouns in -a. The lexicon entries suggest 'supper' or 'name of feast'. Therefore, it is classified as a common noun, thematic in -a."
do-qe-u,0,0,2,0.9,δορπευς,"The word 'do-qe-u' has the cognate 'δορπευς', which means 'supper-man' or 'one who prepares supper'. This suggests it is an anthroponym (person name). The ending '-u' indicates an athematic noun, similar to other examples like 'a-ke-re-u' (αγρευς) and 'ka-ke-u' (χαλκευς)."
do-ra,3,0,1,0.95,δωρα,"The word 'do-ra' has the Greek cognate 'δωρα' (dora), which means 'gifts'. The Linear B word likely represents the same meaning. The ending '-a' suggests it is a thematic noun in -a, likely a plural form."
do-ra-qe,3,0,0,0.95,δωρον|δωρα,"The word 'do-ra-qe' can be broken down into 'do-ra' and '-qe'. '-qe' is a conjunction suffix and can be ignored. 'do-ra' has the cognates δωρον/δωρα, meaning 'gift/gifts'. The Linear B word 'do-ra' corresponds to the plural form δωρα, which is a common noun. The ending '-a' suggests a thematic noun in -a, but the provided declension table shows that the plural nominative/accusative neuter form of thematic nouns in -o also ends in -a. However, the cognate δωρα is plural, so it is more likely that 'do-ra' is a thematic noun in -o (neuter plural) or a thematic noun in -a (feminine plural). Since the lexicon entry states 'gifts', and the cognate is δωρα, I classify it as a thematic noun in -o (neuter plural). Therefore, the inflection is 0."
do-ri-je-we,0,0,2,0.95,δωριεfει|δωριεfες|δωριευς,"The word 'do-ri-je-we' has the Greek cognates δωριεfει, δωριεfες, and δωριευς, all related to 'Dorieus'. The lexicon entries also suggest it's an ethnic/personal name. Given the cognates and lexicon information, it is classified as an anthroponym. The ending '-we' corresponds to the athematic inflection, similar to the ancient greek declension of Δωριευς (Dorieus)."
do-ri-jo,2,0,0,0.95,δωριον,"The word 'do-ri-jo' has the cognate 'δωριον', which refers to something Dorian. Therefore, it is classified as an ethnonym. The ending '-o' suggests it is a thematic noun in -o."
do-ri-ka-o,0,0,0,0.95,δολιχαων|δολιχαυλους,"The word 'do-ri-ka-o' has cognates 'δολιχαων' and 'δολιχαυλους', suggesting it's an anthroponym (person name). The lexicon entry confirms this. The ending '-o' indicates a thematic noun in -o."
do-ro,3,0,0,0.95,δωρον,"The word 'do-ro' has the Greek cognate 'δωρον' (doron), which means 'gift'. This is a common noun. The ending '-o' suggests it is a thematic noun in -o."
do-ro-me-u,0,0,2,0.9,δρομευς,"The word 'do-ro-me-u' has the cognate 'δρομευς' (runner). The lexicon entries suggest it could be a personal name or a cursor. Given the cognate and the -u ending, it is most likely an anthroponym (person name) and an athematic noun. The -ευς ending in ancient greek corresponds to the -u ending in linear B, and it is a typical athematic ending."
do-se,3,1,-1,0.95,διδονσι|διδω|δωσει|δωσονσι,"The word 'do-se' has the Greek cognates 'διδονσι', 'διδω', 'δωσει', 'δωσονσι', all related to the verb 'to give'. The Linear B word likely represents a verb form. The lexicon entries also suggest 'will give' or 'to give'. Given the cognates and the absence of noun-like declensions, it's classified as a verb. Since it's a verb, the inflection is -1."
do-si-mi-ja,3,0,1,0.9,δοσιμια,"The word 'do-si-mi-ja' has the Greek cognate 'δοσιμια'. Based on the ending '-ja', it is likely a thematic noun in -a. It is a common word, not a name or place."
do-so-mo,3,0,0,0.95,δοσμοι|δοσμος,"The word 'do-so-mo' has the Greek cognates 'δοσμοι' and 'δοσμος', which mean 'offerings' and 'offer' respectively. The Linear B word likely represents a common noun related to offerings. The ending '-o' suggests a thematic noun in -o."
do-so-si,3,1,-1,0.95,δωσουσι,"The word 'do-so-si' has the Greek cognate 'δωσουσι', which means 'they will give'. The '-si' ending is a clear indicator of a 3rd person plural verb form. Therefore, it is classified as a common word (5), a verb (1), and inflection is not applicable (-1) for verbs."
do-ti,3,1,-1,0.95,δοτε,"The word 'do-ti' has the cognate 'δοτε', which is a verb meaning 'give' (imperative plural). Therefore, 'do-ti' is classified as a verb. Since it's a verb, the inflection is -1."
do-ti-jo,0,0,2,0.9,δοτις,"The word 'do-ti-jo' has the cognate 'δοτις'. 'δοτις' is a personal name, specifically a female name. The Linear B word ends in '-jo', which could be interpreted as a genitive form of an athematic noun. Therefore, I classify it as an anthroponym (0), a noun (0), and athematic (2)."
do-wa,3,0,2,0.9,δορfυ,"The word 'do-wa' has the cognate 'δορfυ' (dory), meaning 'shaft' or 'spear'. This indicates it is a common noun. The ending '-wa' does not fit the thematic -o or -a declensions. Given the cognate and the absence of a clear thematic ending, it is classified as an athematic noun. The ancient greek cognate is a neuter term, and the linear b term is likely to be a neuter term as well. The athematic neuter terms have a variable nominative/accusative, and the -a ending is compatible with this declension."
do-we-jo,3,2,0,0.95,δορfειος|δορφειος,"The word 'do-we-jo' has cognates 'δορfειος/δορφειος' meaning 'wooden' or 'made of wood'. This indicates it is an adjective. The ending '-jo' corresponds to the thematic adjective ending '-os' (modified by the syllabic nature of Linear B), thus it is classified as thematic in -o."
du-ma,3,0,2,0.85,δυμας|δυματες,"The word 'du-ma' has the cognates 'δυμας/δυματες'. The lexicon entries suggest it's a title of an official or superintendent. The cognates suggest an athematic inflection. 'δυμας' could be the nominative singular, and 'δυματες' could be nominative plural. Therefore, it's a common noun with athematic inflection."
du-ma-te,3,0,2,0.85,δυματες,"The word 'du-ma-te' has the cognate 'δυματες'. The ending '-te' suggests a possible athematic inflection. 'δυματες' is a plural form, and the Linear B word could be a nominative/accusative plural form of an athematic noun. The lexicon entry suggests a connection to 'damos' and a possible official/religious title, making it a common noun."
du-ni-ja,0,0,1,0.7,δυνια,"The word 'du-ni-ja' has a Greek cognate 'δυνια'. Although the lexicon entry is obscure, the presence of the cognate suggests that it could be an anthroponym (person name). The ending '-ja' corresponds to the thematic inflection in -a."
du-ni-jo,0,0,0,0.95,δυνιοιο|δυνιος,"The word 'du-ni-jo' has Greek cognates 'δυνιοιο' and 'δυνιος'. The lexicon entries indicate that 'du-ni-jo' is an anthroponym. The ending '-jo' suggests a thematic noun in -o. The cognate 'δυνιοιο' is a genitive form, which further supports the classification as a thematic noun in -o, as the genitive singular of thematic nouns in -o is -ojo. The other cognate 'δυνιος' is a nominative form."
du-ni-jo-jo,0,0,0,0.95,δυνιοιο|δυνιος,"The word 'du-ni-jo-jo' has the cognates 'δυνιοιο' and 'δυνιος'. The lexicon indicates it's a personal name. The ending '-jo-jo' corresponds to the genitive case of thematic nouns in -o (singular genitive -ojo). Therefore, it's an anthroponym, a noun, and has thematic inflection in -o."
du-re-u,0,0,2,0.9,δυρευς,"The word 'du-re-u' has the cognate 'δυρευς', which is a personal name. The ending '-u' suggests an athematic inflection, similar to 'agreus' and 'khalkeus'. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
du-ri,0,0,2,0.9,δυρις,"The word 'du-ri' has the Greek cognate 'δυρις'. Chadwick & Ventris identify it as an anthroponym. The ending '-i' suggests an athematic inflection. Therefore, it is classified as an anthroponym (word_type=0), a noun (part_of_speech=0), and athematic (inflection=2)."
du-ru-to-mo,3,0,0,0.95,δρυτομος,"The word 'du-ru-to-mo' has the Greek cognate 'δρυτομος', which means 'woodcutter' or 'lumberjack'. This indicates that it is a common noun. The ending '-o' suggests that it is a thematic noun in -o."
du-ta-so,0,0,0,0.9,δυτασος,"The word 'du-ta-so' has the Greek cognate 'δυτασος', which is a personal name. The lexicon also indicates it's a personal name. The word ends in '-o', suggesting a thematic noun in -o."
du-wo-jo,0,0,0,0.9,δυfοιος,"The word 'du-wo-jo' has the Greek cognate 'δυfοιος'. Chadwick & Ventris identify it as an anthroponym and also as the genitive of 'du-wo-jo'. The ending '-ojo' is characteristic of the genitive case of thematic nouns in -o. Therefore, it is classified as an anthroponym (person name), a noun, and thematic in -o."
du-wo-jo-jo,0,0,0,0.9,δυfοιοιο|δυfοιος,"The word 'du-wo-jo-jo' is identified as a personal name based on the lexicon entry. The cognates 'δυfοιοιο' and 'δυfοιος' suggest a thematic noun in -o. The ending '-jo-jo' can be interpreted as a double diminutive form, still belonging to the thematic -o declension."
du-wo-u-pi,3,2,0,0.9,δυfουπι|δυο,"The word 'du-wo-u-pi' has the suffix '-pi', which should be ignored. The remaining part 'du-wo-u' has the cognate 'δυfουπι|δυο', which means 'two'. Since it describes a quantity, it is an adjective. The ending '-u' suggests a thematic adjective in -o (masculine/neuter nominative singular or accusative singular). Therefore, it is classified as a common word (5), adjective (2), and thematic in -o (0)."
du-wo-we,3,2,0,0.95,δυfωfεις|δυfωfτεις,"The word 'du-wo-we' has the cognates 'δυfωfεις' and 'δυfωfτεις', which suggest an adjective meaning 'with two handles/ears'. The ending '-we' corresponds to the thematic -os ending for adjectives in the nominative/accusative neuter or nominative masculine/feminine plural. Therefore, it is classified as an adjective (part_of_speech = 2) with thematic inflection in -o (inflection = 0)."
dwo,3,0,0,0.95,δfο|δυfο|δυο,"The word 'dwo' has Greek cognates δfο, δυfο, δυο, all meaning 'two'. This indicates that 'dwo' is a common word, specifically the number 'two'. The ending '-o' suggests it is a thematic noun in -o."
dwo-jo,0,0,0,0.9,δυfοιος|δfο|δυfο,"The word 'dwo-jo' has cognates like 'δυfοιος', 'δfο', and 'δυfο'. Chadwick & Ventris identify it as an anthroponym. The ending '-jo' suggests a thematic noun in -o, possibly a diminutive or a patronymic form. The lexicon entry 'two' from Tselentis is likely a misunderstanding or a different interpretation of the word's root. Given the anthroponym classification by Chadwick & Ventris and the thematic -o ending, it's classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
e-da-e-u,0,0,2,0.9,εδαευς,"The word 'e-da-e-u' has the cognate 'εδαευς'. The lexicon 'personal name' suggests it is an anthroponym. The ending '-u' suggests an athematic inflection, similar to 'agreus' and 'khalkeus'."
e-da-e-wo,0,0,0,0.85,εδαεfο,"The word 'e-da-e-wo' is identified as a personal name based on the lexicon entry. The cognate 'εδαεfο' suggests a thematic noun in -o, which is a common inflection for names. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and with thematic inflection in -o (inflection = 0)."
e-do-me-ne-u,0,0,2,0.95,ειδομενευς,"The word 'e-do-me-ne-u' has the cognate 'ειδομενευς', which is a personal name (anthroponym). The Linear B word likely represents a form of this name. The ending '-u' suggests an athematic inflection, similar to other anthroponyms like 'a-ke-re-u' (αγρευς) and 'ka-ke-u' (χαλκευς). Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
e-do-mo-ne-we,0,0,2,0.9,ειδομονεfει|ειδομονεfες,"The word 'e-do-mo-ne-we' has cognates 'ειδομονεfει' and 'ειδομονεfες', and the lexicon indicates it's a personal name. The ending '-we' suggests an athematic inflection, similar to other personal names like 'a-ke-re-u' (agreus). The cognates also suggest an athematic declension."
e-e-si,3,1,-1,0.95,εενσι|ειμι|ενεενσι|ενειμι,"The word 'e-e-si' has the Greek cognates 'εενσι', 'ειμι', 'ενεενσι', 'ενειμι'. The lexicon entries and cognates suggest that this word means 'they are'. The ending '-si' is a strong indicator of a 3rd person plural verb form. Therefore, it is classified as a verb, and inflection is not applicable for verbs."
e-ka-ma-pi,3,0,2,0.7,εγμα|εγματει|εγμαφι,"The word 'e-ka-ma-pi' has cognates 'εγμα', 'εγματει', 'εγμαφι'. The suffix '-pi' should be ignored. The cognates suggest a common word. The ending '-ma' suggests an athematic noun. The lexicon entry 'stay' does not help much, but it is a common word."
e-ka-ma-te,3,0,2,0.7,εγματει|εγμα,"The word 'e-ka-ma-te' has cognates 'εγματει|εγμα'. The ending '-te' could be an ablative suffix, but the cognates suggest that the word is 'εγματει' or 'εγμα'. The ending '-te' is not a standard thematic ending. The cognate 'εγματει' suggests a possible athematic inflection. The lexicon entries 'with support' and 'stay' do not provide definitive clues about the word type, but they suggest a common word. Therefore, I classify it as a common noun with athematic inflection."
e-ka-ma-te-qe,3,2,1,0.9,εκαμαθε,"The word 'e-ka-ma-te-qe' has the cognate 'εκαμαθε'. Removing the suffix '-qe', we have 'e-ka-ma-te'. The cognate 'εκαμαθε' suggests a participle form, specifically a passive participle. The ending '-te' could be a syllabic representation of a suffix related to participles. Given the cognate, it is likely a participle, and thus an adjective. The ending can be related to the -a declension, so inflection is 1."
e-ka-ra,3,0,1,0.95,εσχαρα,"The word 'e-ka-ra' has the cognate 'εσχαρα' (eschara), meaning 'grill' or 'griddle'. This is a common noun. The ending '-a' suggests that it is a thematic noun in -a."
e-ka-ra-e-we,0,0,2,0.9,γραω|εγγραεfεις,"The word 'e-ka-ra-e-we' has cognates 'γραω' and 'εγγραεfεις'. The lexicon describes it as related to rams (male sheep). 'γραω' means 'to eat'. The form 'e-ka-ra-e-we' is likely an athematic noun. The ending -we is not a standard thematic ending. The cognate 'γραω' suggests a connection to the act of eating or grazing, which is consistent with the description of rams. The ending -we is likely a variant of the athematic ending. The cognate 'εγγραεfεις' is not helpful."
e-ke,3,1,-1,0.95,εχεεν|εχει|εχειν|εχονσι|εχουσι,"The word 'e-ke' has Greek cognates 'εχεεν', 'εχει', 'εχειν', 'εχονσι', 'εχουσι', all related to 'having' or 'holding'. The lexicon entries also indicate 'has/to have/they have'. The Linear B word 'e-ke' likely represents a verb form. The 3rd singular verb form in Mycenaean Linear B often ends with a vowel -e, which matches the ending of 'e-ke'. Therefore, it is classified as a verb. Since it's a verb, the inflection is -1."
e-ke-a,3,0,1,0.9,εγχεια,"The word 'e-ke-a' has the Greek cognate 'εγχεια', which can be interpreted as 'spears'. The lexicon also suggests 'spears' as a possible meaning. The ending '-a' suggests a thematic noun in -a, likely a plural form. Therefore, it's classified as a common noun, thematic in -a."
e-ke-da-mo,0,0,0,0.95,εχεδαμος|εχεδαμων,"The word 'e-ke-da-mo' has Greek cognates 'εχεδαμος' and 'εχεδαμων', both suggesting a personal name. The lexicon entries also confirm it as an anthroponym. The ending '-o' suggests a thematic noun in -o."
e-ke-e,3,1,-1,0.95,εχειν,"The word 'e-ke-e' has the Greek cognate 'εχειν' (ekhein), which means 'to have'. The lexicon also indicates 'to have' and 'he has/they have'. The Linear B word likely represents a verb form related to 'to have'. The ending '-e' is consistent with the infinitive form of the verb. Therefore, it is classified as a verb, and inflection is -1 for verbs."
e-ke-i-ja,3,0,1,0.95,εγχειη,"The word 'e-ke-i-ja' has the cognate 'εγχειη' (spear). This suggests it is a common noun. The ending '-ja' corresponds to the thematic inflection in '-a', typical of first declension nouns in ancient greek."
e-ke-i-jo-jo,0,0,0,0.95,εγχειος,"The word 'e-ke-i-jo-jo' has the Greek cognate 'εγχειος'. The lexicon entry indicates it's an anthroponym (person name) in the genitive case. The ending '-ojo' corresponds to the thematic genitive singular in -o, so it's a thematic noun in -o."
