TRANSLIT,OGTXT,KEY
"δῶχ' υἷος ποινὴν Γανυμήδεος, οὕνεκ' ἄριστοι","δῶχ' υἷος ποινὴν Γανυμήδεος, οὕνεκ' ἄριστοι",O
"ἵππων ὅσσοι ἔασιν ὑπ' ἠῶ τ' ἠέλιόν τε,","ἵππων ὅσσοι ἔασιν ὑπ' ἠῶ τ' ἠέλιόν τε,",O
τῆς γενεῆς ἔκλεψεν ἄναξ ἀνδρῶν Ἀγχίσης,τῆς γενεῆς ἔκλεψεν ἄναξ ἀνδρῶν Ἀγχίσης,O
λάθρῃ Λαομέδοντος ὑποσχὼν θήλεας ἵππους:,λάθρῃ Λαομέδοντος ὑποσχὼν θήλεας ἵππους:,O
τῶν οἱ ἓξ ἐγένοντο ἐνὶ μεγάροισι γενέθλη. ,τῶν οἱ ἓξ ἐγένοντο ἐνὶ μεγάροισι γενέθλη. ,O
"τοὺς μὲν τέσσαρας αὐτὸς ἔχων ἀτίταλλ' ἐπὶ φάτνῃ,","τοὺς μὲν τέσσαρας αὐτὸς ἔχων ἀτίταλλ' ἐπὶ φάτνῃ,",O
τὼ δὲ δύ' Αἰνείᾳ δῶκεν μήστωρε φόβοιο.,τὼ δὲ δύ' Αἰνείᾳ δῶκεν μήστωρε φόβοιο.,O
"εἰ τούτω κε λάβοιμεν, ἀροίμεθά κε κλέος ἐσθλόν.","εἰ τούτω κε λάβοιμεν, ἀροίμεθά κε κλέος ἐσθλόν.",O
"ὣς οἳ μὲν τοιαῦτα πρὸς ἀλλήλους ἀγόρευον,","ὣς οἳ μὲν τοιαῦτα πρὸς ἀλλήλους ἀγόρευον,",O
τὼ δὲ τάχ' ἐγγύθεν ἦλθον ἐλαύνοντ' ὠκέας ἵππους. ,τὼ δὲ τάχ' ἐγγύθεν ἦλθον ἐλαύνοντ' ὠκέας ἵππους. ,O
τὸν πρότερος προσέειπε Λυκάονος ἀγλαὸς υἱός:,τὸν πρότερος προσέειπε Λυκάονος ἀγλαὸς υἱός:,O
καρτερόθυμε δαί̈φρον ἀγαυοῦ Τυδέος υἱὲ,καρτερόθυμε δαί̈φρον ἀγαυοῦ Τυδέος υἱὲ,O
ἦ μάλα σ' οὐ βέλος ὠκὺ δαμάσσατο πικρὸς ὀϊστός:,ἦ μάλα σ' οὐ βέλος ὠκὺ δαμάσσατο πικρὸς ὀϊστός:,O
νῦν αὖτ' ἐγχείῃ πειρήσομαι αἴ κε τύχωμι.,νῦν αὖτ' ἐγχείῃ πειρήσομαι αἴ κε τύχωμι.,O
ἦ ῥα καὶ ἀμπεπαλὼν προί̈ει δολιχόσκιον ἔγχος ,ἦ ῥα καὶ ἀμπεπαλὼν προί̈ει δολιχόσκιον ἔγχος ,O
καὶ βάλε Τυδεί̈δαο κατ' ἀσπίδα: τῆς δὲ διὰ πρὸ,καὶ βάλε Τυδεί̈δαο κατ' ἀσπίδα: τῆς δὲ διὰ πρὸ,O
αἰχμὴ χαλκείη πταμένη θώρηκι πελάσθη:,αἰχμὴ χαλκείη πταμένη θώρηκι πελάσθη:,O
τῷ δ' ἐπὶ μακρὸν ἄϋσε Λυκάονος ἀγλαὸς υἱός:,τῷ δ' ἐπὶ μακρὸν ἄϋσε Λυκάονος ἀγλαὸς υἱός:,O
"βέβληαι κενεῶνα διαμπερές, οὐδέ σ' ὀί̈ω","βέβληαι κενεῶνα διαμπερές, οὐδέ σ' ὀί̈ω",O
δηρὸν ἔτ' ἀνσχήσεσθαι: ἐμοὶ δὲ μέγ' εὖχος ἔδωκας. ,δηρὸν ἔτ' ἀνσχήσεσθαι: ἐμοὶ δὲ μέγ' εὖχος ἔδωκας. ,O
τὸν δ' οὐ ταρβήσας προσέφη κρατερὸς Διομήδης:,τὸν δ' οὐ ταρβήσας προσέφη κρατερὸς Διομήδης:,O
ἤμβροτες οὐδ' ἔτυχες: ἀτὰρ οὐ μὲν σφῶί̈ γ' ὀί̈ω,ἤμβροτες οὐδ' ἔτυχες: ἀτὰρ οὐ μὲν σφῶί̈ γ' ὀί̈ω,O
πρίν γ' ἀποπαύσεσθαι πρίν γ' ἢ ἕτερόν γε πεσόντα,πρίν γ' ἀποπαύσεσθαι πρίν γ' ἢ ἕτερόν γε πεσόντα,O
"αἵματος ἆσαι Ἄρηα, ταλαύρινον πολεμιστήν.","αἵματος ἆσαι Ἄρηα, ταλαύρινον πολεμιστήν.",O
ὣς φάμενος προέηκε: βέλος δ' ἴθυνεν Ἀθήνη 9,ὣς φάμενος προέηκε: βέλος δ' ἴθυνεν Ἀθήνη 9,O
"ῥῖνα παρ' ὀφθαλμόν, λευκοὺς δ' ἐπέρησεν ὀδόντας.","ῥῖνα παρ' ὀφθαλμόν, λευκοὺς δ' ἐπέρησεν ὀδόντας.",O
"τοῦ δ' ἀπὸ μὲν γλῶσσαν πρυμνὴν τάμε χαλκὸς ἀτειρής,","τοῦ δ' ἀπὸ μὲν γλῶσσαν πρυμνὴν τάμε χαλκὸς ἀτειρής,",O
αἰχμὴ δ' ἐξελύθη παρὰ νείατον ἀνθερεῶνα:,αἰχμὴ δ' ἐξελύθη παρὰ νείατον ἀνθερεῶνα:,O
"ἤριπε δ' ἐξ ὀχέων, ἀράβησε δὲ τεύχε' ἐπ' αὐτῷ","ἤριπε δ' ἐξ ὀχέων, ἀράβησε δὲ τεύχε' ἐπ' αὐτῷ",O
"αἰόλα παμφανόωντα, παρέτρεσσαν δέ οἱ ἵπποι 9","αἰόλα παμφανόωντα, παρέτρεσσαν δέ οἱ ἵπποι 9",O
ὠκύποδες: τοῦ δ' αὖθι λύθη ψυχή τε μένος τε.,ὠκύποδες: τοῦ δ' αὖθι λύθη ψυχή τε μένος τε.,O
Αἰνείας δ' ἀπόρουσε σὺν ἀσπίδι δουρί τε μακρῷ,Αἰνείας δ' ἀπόρουσε σὺν ἀσπίδι δουρί τε μακρῷ,O
δείσας μή πώς οἱ ἐρυσαίατο νεκρὸν Ἀχαιοί.,δείσας μή πώς οἱ ἐρυσαίατο νεκρὸν Ἀχαιοί.,O
"ἀμφὶ δ' ἄρ' αὐτῷ βαῖνε λέων ὣς ἀλκὶ πεποιθώς,","ἀμφὶ δ' ἄρ' αὐτῷ βαῖνε λέων ὣς ἀλκὶ πεποιθώς,",O
"πρόσθε δέ οἱ δόρυ τ' ἔσχε καὶ ἀσπίδα πάντοσ' ἐί̈σην, ","πρόσθε δέ οἱ δόρυ τ' ἔσχε καὶ ἀσπίδα πάντοσ' ἐί̈σην, ",O
τὸν κτάμεναι μεμαὼς ὅς τις τοῦ γ' ἀντίος ἔλθοι,τὸν κτάμεναι μεμαὼς ὅς τις τοῦ γ' ἀντίος ἔλθοι,O
σμερδαλέα ἰάχων: ὃ δὲ χερμάδιον λάβε χειρὶ,σμερδαλέα ἰάχων: ὃ δὲ χερμάδιον λάβε χειρὶ,O
"Τυδεί̈δης μέγα ἔργον ὃ οὐ δύο γ' ἄνδρε φέροιεν,","Τυδεί̈δης μέγα ἔργον ὃ οὐ δύο γ' ἄνδρε φέροιεν,",O
οἷοι νῦν βροτοί εἰσ': ὃ δέ μιν ῥέα πάλλε καὶ οἶος.,οἷοι νῦν βροτοί εἰσ': ὃ δέ μιν ῥέα πάλλε καὶ οἶος.,O
τῷ βάλεν Αἰνείαο κατ' ἰσχίον ἔνθά τε μηρὸς ,τῷ βάλεν Αἰνείαο κατ' ἰσχίον ἔνθά τε μηρὸς ,O
"ἰσχίῳ ἐνστρέφεται, κοτύλην δέ τέ μιν καλέουσι:","ἰσχίῳ ἐνστρέφεται, κοτύλην δέ τέ μιν καλέουσι:",O
"θλάσσε δέ οἱ κοτύλην, πρὸς δ' ἄμφω ῥῆξε τένοντε:","θλάσσε δέ οἱ κοτύλην, πρὸς δ' ἄμφω ῥῆξε τένοντε:",O
ὦσε δ' ἀπὸ ῥινὸν τρηχὺς λίθος: αὐτὰρ ὅ γ' ἥρως,ὦσε δ' ἀπὸ ῥινὸν τρηχὺς λίθος: αὐτὰρ ὅ γ' ἥρως,O
ἔστη γνὺξ ἐριπὼν καὶ ἐρείσατο χειρὶ παχείῃ,ἔστη γνὺξ ἐριπὼν καὶ ἐρείσατο χειρὶ παχείῃ,O
γαίης: ἀμφὶ δὲ ὄσσε κελαινὴ νὺξ ἐκάλυψε. ,γαίης: ἀμφὶ δὲ ὄσσε κελαινὴ νὺξ ἐκάλυψε. ,O
"καί νύ κεν ἔνθ' ἀπόλοιτο ἄναξ ἀνδρῶν Αἰνείας,","καί νύ κεν ἔνθ' ἀπόλοιτο ἄναξ ἀνδρῶν Αἰνείας,",O
εἰ μὴ ἄρ' ὀξὺ νόησε Διὸς θυγάτηρ Ἀφροδίτη,εἰ μὴ ἄρ' ὀξὺ νόησε Διὸς θυγάτηρ Ἀφροδίτη,O
"μήτηρ, ἥ μιν ὑπ' Ἀγχίσῃ τέκε βουκολέοντι:","μήτηρ, ἥ μιν ὑπ' Ἀγχίσῃ τέκε βουκολέοντι:",O
"ἀμφὶ δ' ἑὸν φίλον υἱὸν ἐχεύατο πήχεε λευκώ,","ἀμφὶ δ' ἑὸν φίλον υἱὸν ἐχεύατο πήχεε λευκώ,",O
πρόσθε δέ οἱ πέπλοιο φαεινοῦ πτύγμα κάλυψεν ,πρόσθε δέ οἱ πέπλοιο φαεινοῦ πτύγμα κάλυψεν ,O
"ἕρκος ἔμεν βελέων, μή τις Δαναῶν ταχυπώλων","ἕρκος ἔμεν βελέων, μή τις Δαναῶν ταχυπώλων",O
χαλκὸν ἐνὶ στήθεσσι βαλὼν ἐκ θυμὸν ἕλοιτο.,χαλκὸν ἐνὶ στήθεσσι βαλὼν ἐκ θυμὸν ἕλοιτο.,O
ἣ μὲν ἑὸν φίλον υἱὸν ὑπεξέφερεν πολέμοιο:,ἣ μὲν ἑὸν φίλον υἱὸν ὑπεξέφερεν πολέμοιο:,O
οὐδ' υἱὸς Καπανῆος ἐλήθετο συνθεσιάων,οὐδ' υἱὸς Καπανῆος ἐλήθετο συνθεσιάων,O
"τάων ἃς ἐπέτελλε βοὴν ἀγαθὸς Διομήδης, ","τάων ἃς ἐπέτελλε βοὴν ἀγαθὸς Διομήδης, ",O
ἀλλ' ὅ γε τοὺς μὲν ἑοὺς ἠρύκακε μώνυχας ἵππους,ἀλλ' ὅ γε τοὺς μὲν ἑοὺς ἠρύκακε μώνυχας ἵππους,O
"νόσφιν ἀπὸ φλοίσβου ἐξ ἄντυγος ἡνία τείνας,","νόσφιν ἀπὸ φλοίσβου ἐξ ἄντυγος ἡνία τείνας,",O
Αἰνείαο δ' ἐπαί̈ξας καλλίτριχας ἵππους,Αἰνείαο δ' ἐπαί̈ξας καλλίτριχας ἵππους,O
ἐξέλασε Τρώων μετ' ἐϋκνήμιδας Ἀχαιούς.,ἐξέλασε Τρώων μετ' ἐϋκνήμιδας Ἀχαιούς.,O
"δῶκε δὲ Δηϊπύλῳ ἑτάρῳ φίλῳ, ὃν περὶ πάσης ","δῶκε δὲ Δηϊπύλῳ ἑτάρῳ φίλῳ, ὃν περὶ πάσης ",O
"τῖεν ὁμηλικίης ὅτι οἱ φρεσὶν ἄρτια ᾔδη,","τῖεν ὁμηλικίης ὅτι οἱ φρεσὶν ἄρτια ᾔδη,",O
νηυσὶν ἔπι γλαφυρῇσιν ἐλαυνέμεν: αὐτὰρ ὅ γ' ἥρως,νηυσὶν ἔπι γλαφυρῇσιν ἐλαυνέμεν: αὐτὰρ ὅ γ' ἥρως,O
"ὧν ἵππων ἐπιβὰς ἔλαβ' ἡνία σιγαλόεντα,","ὧν ἵππων ἐπιβὰς ἔλαβ' ἡνία σιγαλόεντα,",O
αἶψα δὲ Τυδεί̈δην μέθεπε κρατερώνυχας ἵππους,αἶψα δὲ Τυδεί̈δην μέθεπε κρατερώνυχας ἵππους,O
ἐμμεμαώς: ὃ δὲ Κύπριν ἐπῴχετο νηλέϊ χαλκῷ ,ἐμμεμαώς: ὃ δὲ Κύπριν ἐπῴχετο νηλέϊ χαλκῷ ,O
"γιγνώσκων ὅ τ' ἄναλκις ἔην θεός, οὐδὲ θεάων","γιγνώσκων ὅ τ' ἄναλκις ἔην θεός, οὐδὲ θεάων",O
"τάων αἵ τ' ἀνδρῶν πόλεμον κάτα κοιρανέουσιν,","τάων αἵ τ' ἀνδρῶν πόλεμον κάτα κοιρανέουσιν,",O
οὔτ' ἄρ' Ἀθηναίη οὔτε πτολίπορθος Ἐνυώ.,οὔτ' ἄρ' Ἀθηναίη οὔτε πτολίπορθος Ἐνυώ.,O
"ἀλλ' ὅτε δή ῥ' ἐκίχανε πολὺν καθ' ὅμιλον ὀπάζων,","ἀλλ' ὅτε δή ῥ' ἐκίχανε πολὺν καθ' ὅμιλον ὀπάζων,",O
ἔνθ' ἐπορεξάμενος μεγαθύμου Τυδέος υἱὸς ,ἔνθ' ἐπορεξάμενος μεγαθύμου Τυδέος υἱὸς ,O
ἄκρην οὔτασε χεῖρα μετάλμενος ὀξέϊ δουρὶ,ἄκρην οὔτασε χεῖρα μετάλμενος ὀξέϊ δουρὶ,O
ἀβληχρήν: εἶθαρ δὲ δόρυ χροὸς ἀντετόρησεν,ἀβληχρήν: εἶθαρ δὲ δόρυ χροὸς ἀντετόρησεν,O
"ἀμβροσίου διὰ πέπλου, ὅν οἱ Χάριτες κάμον αὐταί,","ἀμβροσίου διὰ πέπλου, ὅν οἱ Χάριτες κάμον αὐταί,",O
πρυμνὸν ὕπερ θέναρος: ῥέε δ' ἄμβροτον αἷμα θεοῖο,πρυμνὸν ὕπερ θέναρος: ῥέε δ' ἄμβροτον αἷμα θεοῖο,O
"ἰχώρ, οἷός πέρ τε ῥέει μακάρεσσι θεοῖσιν: ","ἰχώρ, οἷός πέρ τε ῥέει μακάρεσσι θεοῖσιν: ",O
"οὐ γὰρ σῖτον ἔδουσ', οὐ πίνουσ' αἴθοπα οἶνον,","οὐ γὰρ σῖτον ἔδουσ', οὐ πίνουσ' αἴθοπα οἶνον,",O
τοὔνεκ' ἀναίμονές εἰσι καὶ ἀθάνατοι καλέονται.,τοὔνεκ' ἀναίμονές εἰσι καὶ ἀθάνατοι καλέονται.,O
ἣ δὲ μέγα ἰάχουσα ἀπὸ ἕο κάββαλεν υἱόν:,ἣ δὲ μέγα ἰάχουσα ἀπὸ ἕο κάββαλεν υἱόν:,O
καὶ τὸν μὲν μετὰ χερσὶν ἐρύσατο Φοῖβος Ἀπόλλων,καὶ τὸν μὲν μετὰ χερσὶν ἐρύσατο Φοῖβος Ἀπόλλων,O
"κυανέῃ νεφέλῃ, μή τις Δαναῶν ταχυπώλων ","κυανέῃ νεφέλῃ, μή τις Δαναῶν ταχυπώλων ",O
χαλκὸν ἐνὶ στήθεσσι βαλὼν ἐκ θυμὸν ἕλοιτο:,χαλκὸν ἐνὶ στήθεσσι βαλὼν ἐκ θυμὸν ἕλοιτο:,O
τῇ δ' ἐπὶ μακρὸν ἄϋσε βοὴν ἀγαθὸς Διομήδης:,τῇ δ' ἐπὶ μακρὸν ἄϋσε βοὴν ἀγαθὸς Διομήδης:,O
εἶκε Διὸς θύγατερ πολέμου καὶ δηϊοτῆτος:,εἶκε Διὸς θύγατερ πολέμου καὶ δηϊοτῆτος:,O
ἦ οὐχ ἅλις ὅττι γυναῖκας ἀνάλκιδας ἠπεροπεύεις;,ἦ οὐχ ἅλις ὅττι γυναῖκας ἀνάλκιδας ἠπεροπεύεις;,O
"εἰ δὲ σύ γ' ἐς πόλεμον πωλήσεαι, ἦ τέ σ' ὀί̈ω ","εἰ δὲ σύ γ' ἐς πόλεμον πωλήσεαι, ἦ τέ σ' ὀί̈ω ",O
ῥιγήσειν πόλεμόν γε καὶ εἴ χ' ἑτέρωθι πύθηαι.,ῥιγήσειν πόλεμόν γε καὶ εἴ χ' ἑτέρωθι πύθηαι.,O
"ὣς ἔφαθ', ἣ δ' ἀλύουσ' ἀπεβήσετο, τείρετο δ' αἰνῶς:","ὣς ἔφαθ', ἣ δ' ἀλύουσ' ἀπεβήσετο, τείρετο δ' αἰνῶς:",O
τὴν μὲν ἄρ' Ἶρις ἑλοῦσα ποδήνεμος ἔξαγ' ὁμίλου,τὴν μὲν ἄρ' Ἶρις ἑλοῦσα ποδήνεμος ἔξαγ' ὁμίλου,O
"ἀχθομένην ὀδύνῃσι, μελαίνετο δὲ χρόα καλόν.","ἀχθομένην ὀδύνῃσι, μελαίνετο δὲ χρόα καλόν.",O
εὗρεν ἔπειτα μάχης ἐπ' ἀριστερὰ θοῦρον Ἄρηα ,εὗρεν ἔπειτα μάχης ἐπ' ἀριστερὰ θοῦρον Ἄρηα ,O
ἥμενον: ἠέρι δ' ἔγχος ἐκέκλιτο καὶ ταχέ' ἵππω:,ἥμενον: ἠέρι δ' ἔγχος ἐκέκλιτο καὶ ταχέ' ἵππω:,O
ἣ δὲ γνὺξ ἐριποῦσα κασιγνήτοιο φίλοιο,ἣ δὲ γνὺξ ἐριποῦσα κασιγνήτοιο φίλοιο,O
πολλὰ λισσομένη χρυσάμπυκας ᾔτεεν ἵππους:,πολλὰ λισσομένη χρυσάμπυκας ᾔτεεν ἵππους:,O
"φίλε κασίγνητε κόμισαί τέ με δός τέ μοι ἵππους,","φίλε κασίγνητε κόμισαί τέ με δός τέ μοι ἵππους,",O
ὄφρ' ἐς Ὄλυμπον ἵκωμαι ἵν' ἀθανάτων ἕδος ἐστί. ,ὄφρ' ἐς Ὄλυμπον ἵκωμαι ἵν' ἀθανάτων ἕδος ἐστί. ,O
λίην ἄχθομαι ἕλκος ὅ με βροτὸς οὔτασεν ἀνὴρ,λίην ἄχθομαι ἕλκος ὅ με βροτὸς οὔτασεν ἀνὴρ,O
"Τυδεί̈δης, ὃς νῦν γε καὶ ἂν Διὶ πατρὶ μάχοιτο.","Τυδεί̈δης, ὃς νῦν γε καὶ ἂν Διὶ πατρὶ μάχοιτο.",O
"ὣς φάτο, τῇ δ' ἄρ' Ἄρης δῶκε χρυσάμπυκας ἵππους:","ὣς φάτο, τῇ δ' ἄρ' Ἄρης δῶκε χρυσάμπυκας ἵππους:",O
"ἣ δ' ἐς δίφρον ἔβαινεν ἀκηχεμένη φίλον ἦτορ,","ἣ δ' ἐς δίφρον ἔβαινεν ἀκηχεμένη φίλον ἦτορ,",O
"πὰρ δέ οἱ Ἶρις ἔβαινε καὶ ἡνία λάζετο χερσί, ","πὰρ δέ οἱ Ἶρις ἔβαινε καὶ ἡνία λάζετο χερσί, ",O
"μάστιξεν δ' ἐλάαν, τὼ δ' οὐκ ἀέκοντε πετέσθην.","μάστιξεν δ' ἐλάαν, τὼ δ' οὐκ ἀέκοντε πετέσθην.",O
αἶψα δ' ἔπειθ' ἵκοντο θεῶν ἕδος αἰπὺν Ὄλυμπον:,αἶψα δ' ἔπειθ' ἵκοντο θεῶν ἕδος αἰπὺν Ὄλυμπον:,O
ἔνθ' ἵππους ἔστησε ποδήνεμος ὠκέα Ἶρις,ἔνθ' ἵππους ἔστησε ποδήνεμος ὠκέα Ἶρις,O
"λύσασ' ἐξ ὀχέων, παρὰ δ' ἀμβρόσιον βάλεν εἶδαρ:","λύσασ' ἐξ ὀχέων, παρὰ δ' ἀμβρόσιον βάλεν εἶδαρ:",O
ἣ δ' ἐν γούνασι πῖπτε Διώνης δῖ' Ἀφροδίτη ,ἣ δ' ἐν γούνασι πῖπτε Διώνης δῖ' Ἀφροδίτη ,O
"μητρὸς ἑῆς: ἣ δ' ἀγκὰς ἐλάζετο θυγατέρα ἥν,","μητρὸς ἑῆς: ἣ δ' ἀγκὰς ἐλάζετο θυγατέρα ἥν,",O
χειρί τέ μιν κατέρεξεν ἔπος τ' ἔφατ' ἐκ τ' ὀνόμαζε:,χειρί τέ μιν κατέρεξεν ἔπος τ' ἔφατ' ἐκ τ' ὀνόμαζε:,O
τίς νύ σε τοιάδ' ἔρεξε φίλον τέκος Οὐρανιώνων,τίς νύ σε τοιάδ' ἔρεξε φίλον τέκος Οὐρανιώνων,O
"μαψιδίως, ὡς εἴ τι κακὸν ῥέζουσαν ἐνωπῇ;","μαψιδίως, ὡς εἴ τι κακὸν ῥέζουσαν ἐνωπῇ;",O
τὴν δ' ἠμείβετ' ἔπειτα φιλομμειδὴς Ἀφροδίτη: ,τὴν δ' ἠμείβετ' ἔπειτα φιλομμειδὴς Ἀφροδίτη: ,O
"οὖτά με Τυδέος υἱὸς ὑπέρθυμος Διομήδης,","οὖτά με Τυδέος υἱὸς ὑπέρθυμος Διομήδης,",O
οὕνεκ' ἐγὼ φίλον υἱὸν ὑπεξέφερον πολέμοιο,οὕνεκ' ἐγὼ φίλον υἱὸν ὑπεξέφερον πολέμοιο,O
"Αἰνείαν, ὃς ἐμοὶ πάντων πολὺ φίλτατός ἐστιν.","Αἰνείαν, ὃς ἐμοὶ πάντων πολὺ φίλτατός ἐστιν.",O
"οὐ γὰρ ἔτι Τρώων καὶ Ἀχαιῶν φύλοπις αἰνή,","οὐ γὰρ ἔτι Τρώων καὶ Ἀχαιῶν φύλοπις αἰνή,",O
ἀλλ' ἤδη Δαναοί γε καὶ ἀθανάτοισι μάχονται. ,ἀλλ' ἤδη Δαναοί γε καὶ ἀθανάτοισι μάχονται. ,O
"τὴν δ' ἠμείβετ' ἔπειτα Διώνη, δῖα θεάων:","τὴν δ' ἠμείβετ' ἔπειτα Διώνη, δῖα θεάων:",O
"τέτλαθι τέκνον ἐμόν, καὶ ἀνάσχεο κηδομένη περ:","τέτλαθι τέκνον ἐμόν, καὶ ἀνάσχεο κηδομένη περ:",O
πολλοὶ γὰρ δὴ τλῆμεν Ὀλύμπια δώματ' ἔχοντες,πολλοὶ γὰρ δὴ τλῆμεν Ὀλύμπια δώματ' ἔχοντες,O
ἐξ ἀνδρῶν χαλέπ' ἄλγε' ἐπ' ἀλλήλοισι τιθέντες.,ἐξ ἀνδρῶν χαλέπ' ἄλγε' ἐπ' ἀλλήλοισι τιθέντες.,O
τλῆ μὲν Ἄρης ὅτε μιν Ὦτος κρατερός τ' Ἐφιάλτης ,τλῆ μὲν Ἄρης ὅτε μιν Ὦτος κρατερός τ' Ἐφιάλτης ,O
"παῖδες Ἀλωῆος, δῆσαν κρατερῷ ἐνὶ δεσμῷ:","παῖδες Ἀλωῆος, δῆσαν κρατερῷ ἐνὶ δεσμῷ:",O
χαλκέῳ δ' ἐν κεράμῳ δέδετο τρισκαίδεκα μῆνας:,χαλκέῳ δ' ἐν κεράμῳ δέδετο τρισκαίδεκα μῆνας:,O
"καί νύ κεν ἔνθ' ἀπόλοιτο Ἄρης ἆτος πολέμοιο,","καί νύ κεν ἔνθ' ἀπόλοιτο Ἄρης ἆτος πολέμοιο,",O
εἰ μὴ μητρυιὴ περικαλλὴς Ἠερίβοια,εἰ μὴ μητρυιὴ περικαλλὴς Ἠερίβοια,O
Ἑρμέᾳ ἐξήγγειλεν: ὃ δ' ἐξέκλεψεν Ἄρηα 9,Ἑρμέᾳ ἐξήγγειλεν: ὃ δ' ἐξέκλεψεν Ἄρηα 9,O
"ἤδη τειρόμενον, χαλεπὸς δέ ἑ δεσμὸς ἐδάμνα.","ἤδη τειρόμενον, χαλεπὸς δέ ἑ δεσμὸς ἐδάμνα.",O
"τλῆ δ' Ἥρη, ὅτε μιν κρατερὸς πάϊς Ἀμφιτρύωνος","τλῆ δ' Ἥρη, ὅτε μιν κρατερὸς πάϊς Ἀμφιτρύωνος",O
δεξιτερὸν κατὰ μαζὸν ὀϊστῷ τριγλώχινι,δεξιτερὸν κατὰ μαζὸν ὀϊστῷ τριγλώχινι,O
βεβλήκει: τότε καί μιν ἀνήκεστον λάβεν ἄλγος.,βεβλήκει: τότε καί μιν ἀνήκεστον λάβεν ἄλγος.,O
"τλῆ δ' Ἀί̈δης ἐν τοῖσι πελώριος ὠκὺν ὀϊστόν, 9","τλῆ δ' Ἀί̈δης ἐν τοῖσι πελώριος ὠκὺν ὀϊστόν, 9",O
εὖτέ μιν ωὐτὸς ἀνὴρ υἱὸς Διὸς αἰγιόχοιο,εὖτέ μιν ωὐτὸς ἀνὴρ υἱὸς Διὸς αἰγιόχοιο,O
ἐν Πύλῳ ἐν νεκύεσσι βαλὼν ὀδύνῃσιν ἔδωκεν:,ἐν Πύλῳ ἐν νεκύεσσι βαλὼν ὀδύνῃσιν ἔδωκεν:,O
αὐτὰρ ὃ βῆ πρὸς δῶμα Διὸς καὶ μακρὸν Ὄλυμπον,αὐτὰρ ὃ βῆ πρὸς δῶμα Διὸς καὶ μακρὸν Ὄλυμπον,O
κῆρ ἀχέων ὀδύνῃσι πεπαρμένος: αὐτὰρ ὀϊστὸς,κῆρ ἀχέων ὀδύνῃσι πεπαρμένος: αὐτὰρ ὀϊστὸς,O
"ὤμῳ ἔνι στιβαρῷ ἠλήλατο, κῆδε δὲ θυμόν. ","ὤμῳ ἔνι στιβαρῷ ἠλήλατο, κῆδε δὲ θυμόν. ",O
τῷ δ' ἐπὶ Παιήων ὀδυνήφατα φάρμακα πάσσων,τῷ δ' ἐπὶ Παιήων ὀδυνήφατα φάρμακα πάσσων,O
ἠκέσατ': οὐ μὲν γάρ τι καταθνητός γε τέτυκτο.,ἠκέσατ': οὐ μὲν γάρ τι καταθνητός γε τέτυκτο.,O
"σχέτλιος ὀβριμοεργὸς ὃς οὐκ ὄθετ' αἴσυλα ῥέζων,","σχέτλιος ὀβριμοεργὸς ὃς οὐκ ὄθετ' αἴσυλα ῥέζων,",O
ὃς τόξοισιν ἔκηδε θεοὺς οἳ Ὄλυμπον ἔχουσι.,ὃς τόξοισιν ἔκηδε θεοὺς οἳ Ὄλυμπον ἔχουσι.,O
σοὶ δ' ἐπὶ τοῦτον ἀνῆκε θεὰ γλαυκῶπις Ἀθήνη: ,σοὶ δ' ἐπὶ τοῦτον ἀνῆκε θεὰ γλαυκῶπις Ἀθήνη: ,O
"νήπιος, οὐδὲ τὸ οἶδε κατὰ φρένα Τυδέος υἱὸς","νήπιος, οὐδὲ τὸ οἶδε κατὰ φρένα Τυδέος υἱὸς",O
"ὅττι μάλ' οὐ δηναιὸς ὃς ἀθανάτοισι μάχηται,","ὅττι μάλ' οὐ δηναιὸς ὃς ἀθανάτοισι μάχηται,",O
οὐδέ τί μιν παῖδες ποτὶ γούνασι παππάζουσιν,οὐδέ τί μιν παῖδες ποτὶ γούνασι παππάζουσιν,O
ἐλθόντ' ἐκ πολέμοιο καὶ αἰνῆς δηϊοτῆτος.,ἐλθόντ' ἐκ πολέμοιο καὶ αἰνῆς δηϊοτῆτος.,O
"τὼ νῦν Τυδεί̈δης, εἰ καὶ μάλα καρτερός ἐστι, ","τὼ νῦν Τυδεί̈δης, εἰ καὶ μάλα καρτερός ἐστι, ",O
"φραζέσθω μή τίς οἱ ἀμείνων σεῖο μάχηται,","φραζέσθω μή τίς οἱ ἀμείνων σεῖο μάχηται,",O
μὴ δὴν Αἰγιάλεια περίφρων Ἀδρηστίνη,μὴ δὴν Αἰγιάλεια περίφρων Ἀδρηστίνη,O
ἐξ ὕπνου γοόωσα φίλους οἰκῆας ἐγείρῃ,ἐξ ὕπνου γοόωσα φίλους οἰκῆας ἐγείρῃ,O
κουρίδιον ποθέουσα πόσιν τὸν ἄριστον Ἀχαιῶν,κουρίδιον ποθέουσα πόσιν τὸν ἄριστον Ἀχαιῶν,O
ἰφθίμη ἄλοχος Διομήδεος ἱπποδάμοιο. ,ἰφθίμη ἄλοχος Διομήδεος ἱπποδάμοιο. ,O
ἦ ῥα καὶ ἀμφοτέρῃσιν ἀπ' ἰχῶ χειρὸς ὀμόργνυ:,ἦ ῥα καὶ ἀμφοτέρῃσιν ἀπ' ἰχῶ χειρὸς ὀμόργνυ:,O
