linear_b,word_type,part_of_speech,inflection,confidence,reasoning
do-ti,5,1,-1,0.95,"The word 'do-ti' has the cognate 'δοτε', which is a verb meaning 'give' (imperative plural). Therefore, 'do-ti' is classified as a verb. Since it's a verb, the inflection is -1."
do-ti-jo,0,0,2,0.9,"The word 'do-ti-jo' has the cognate 'δοτις'. 'δοτις' is a personal name, specifically a female name. The Linear B word ends in '-jo', which could be interpreted as a genitive form of an athematic noun. Therefore, I classify it as an anthroponym (0), a noun (0), and athematic (2)."
do-wa,5,0,2,0.9,"The word 'do-wa' has the cognate 'δορfυ' (dory), meaning 'shaft' or 'spear'. This indicates it is a common noun. The ending '-wa' does not fit the thematic -o or -a declensions. Given the cognate and the absence of a clear thematic ending, it is classified as an athematic noun. The ancient greek cognate is a neuter term, and the linear b term is likely to be a neuter term as well. The athematic neuter terms have a variable nominative/accusative, and the -a ending is compatible with this declension."
do-we-jo,5,2,0,0.95,"The word 'do-we-jo' has cognates 'δορfειος/δορφειος' meaning 'wooden' or 'made of wood'. This indicates it is an adjective. The ending '-jo' corresponds to the thematic adjective ending '-os' (modified by the syllabic nature of Linear B), thus it is classified as thematic in -o."
du-ma,5,0,2,0.85,"The word 'du-ma' has the cognates 'δυμας/δυματες'. The lexicon entries suggest it's a title of an official or superintendent. The cognates suggest an athematic inflection. 'δυμας' could be the nominative singular, and 'δυματες' could be nominative plural. Therefore, it's a common noun with athematic inflection."
du-ma-te,5,0,2,0.85,"The word 'du-ma-te' has the cognate 'δυματες'. The ending '-te' suggests a possible athematic plural form. The lexicon entry suggests a relationship to 'damos' and a possible official/religious title. Therefore, it's likely a common noun, and the athematic inflection is chosen based on the cognate's plural form and the absence of clear thematic endings."
du-ni-ja,-1,0,1,0.6,"The word 'du-ni-ja' has a Greek cognate 'δυνια'. The ending '-ja' corresponds to the '-a' suffix, which is characteristic of thematic nouns in -a. The lexicon entry says that the meaning is obscure, so I cannot determine the word type. Therefore, I classify it as a noun with thematic inflection in -a."
du-ni-jo,0,0,0,0.95,"The word 'du-ni-jo' has Greek cognates 'δυνιοιο' and 'δυνιος'. The lexicon entries indicate it's an anthroponym. The ending '-jo' suggests a thematic noun in -o. The cognate 'δυνιοιο' is a genitive form, which further supports the classification as a thematic noun in -o, as the genitive of thematic nouns in -o ends in -ojo."
du-ni-jo-jo,0,0,0,0.95,"The word 'du-ni-jo-jo' has the cognates 'δυνιοιο' and 'δυνιος'. The lexicon indicates it's a personal name. The ending '-jo-jo' corresponds to the genitive case of a thematic noun in -o (second declension in ancient greek). Therefore, it's an anthroponym, a noun, and has thematic inflection in -o."
du-re-u,0,0,2,0.9,"The word 'du-re-u' has the cognate 'δυρευς', which is a personal name. The ending '-u' suggests an athematic inflection, similar to 'a-ke-re-u' (agreus) and 'ka-ke-u' (khalkeus)."
du-ri,0,0,2,0.9,"The word 'du-ri' has the Greek cognate 'δυρις'. Chadwick & Ventris identify it as an anthroponym. The ending '-i' suggests an athematic inflection. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
du-ru-to-mo,5,0,0,0.95,"The word 'du-ru-to-mo' has the Greek cognate 'δρυτομος', which means 'woodcutter' or 'lumberjack'. This indicates that it is a common noun. The ending '-o' suggests that it is a thematic noun in -o."
du-ta-so,0,0,0,0.9,"The word 'du-ta-so' has the Greek cognate 'δυτασος', which is a personal name. The lexicon also indicates it's a personal name. The word ends in '-o', suggesting a thematic noun in -o."
du-wo-jo,0,0,0,0.9,"The word 'du-wo-jo' has the Greek cognate 'δυfοιος'. The lexicon entry identifies it as an anthroponym and also as the genitive of 'du-wo-jo'. The ending '-ojo' is characteristic of the genitive singular of thematic nouns in -o. Therefore, it is classified as an anthroponym (person name), a noun, and thematic in -o."
du-wo-jo-jo,0,0,0,0.9,"The word 'du-wo-jo-jo' is identified as a personal name based on the lexicon entry. The cognates 'δυfοιοιο' and 'δυfοιος' suggest a thematic noun in -o. The ending '-jo-jo' can be interpreted as a double diminutive form, still belonging to the thematic -o declension."
du-wo-u-pi,5,2,0,0.9,"The word 'du-wo-u-pi' has the suffix '-pi', which should be ignored. The remaining part 'du-wo-u' has the cognates 'δυfουπι|δυο'. 'δυο' means 'two'. Therefore, 'du-wo-u' is an adjective meaning 'two'. The ending '-u' can be considered as a variant of '-o' (thematic in -o). Therefore, it is a thematic adjective in -o."
du-wo-we,5,2,0,0.95,"The word 'du-wo-we' has the cognates 'δυfωfεις' and 'δυfωfτεις', which suggest an adjective meaning 'with two ears/handles'. The ending '-we' corresponds to the thematic -os ending for adjectives in the nominative/accusative neuter plural or nominative/vocative dual. Therefore, it is classified as a common adjective with thematic inflection in -o."
dwo,5,0,0,0.95,"The word 'dwo' has Greek cognates δfο, δυfο, δυο, all meaning 'two'. This indicates that 'dwo' is a common word, specifically the number 'two'. The ending '-o' suggests it is a thematic noun in -o."
dwo-jo,0,0,0,0.9,"The word 'dwo-jo' has cognates δυfοιος, δfο, and δυfο. Chadwick & Ventris identify it as an anthroponym. The ending '-jo' suggests a thematic noun in -o, possibly a diminutive or a personal name derived from 'two'. Therefore, it's classified as an anthroponym (word_type=0), a noun (part_of_speech=0), and thematic in -o (inflection=0)."
e-da-e-u,0,0,2,0.9,"The word 'e-da-e-u' has the cognate 'εδαευς'. The lexicon 'personal name' suggests it is an anthroponym. The ending '-u' suggests an athematic inflection, similar to 'agreus' and 'khalkeus'."
e-da-e-wo,0,0,0,0.9,"The word 'e-da-e-wo' is identified as a personal name based on the lexicon entry. The Greek cognate is 'εδαεfο', which suggests a thematic noun in -o. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
e-do-me-ne-u,0,0,2,0.95,"The word 'e-do-me-ne-u' has the cognate 'ειδομενευς', which is a personal name (anthroponym). The Linear B word likely represents a form of this name. The ending '-u' suggests an athematic inflection, similar to other anthroponyms like 'a-ke-re-u' (αγρευς) and 'ka-ke-u' (χαλκευς). Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
e-do-mo-ne-we,0,0,2,0.9,"The word 'e-do-mo-ne-we' has cognates 'ειδομονεfει' and 'ειδομονεfες', and the lexicon indicates it's a personal name. The ending '-we' suggests an athematic inflection, similar to other anthroponyms ending in -u or -e. The cognates also suggest an athematic declension. The word is therefore classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
e-e-si,5,1,-1,0.95,"The word 'e-e-si' has the Greek cognates 'εενσι|ειμι|ενεενσι|ενειμι'. The most relevant cognate is 'εισι' (eisi), which means 'they are'. The Linear B word ends in '-si', which, according to the provided information, is a characteristic ending for the 3rd person plural of verbs. Therefore, 'e-e-si' is classified as a verb. Since it's a verb, the inflection is -1."
e-ka-ma-pi,5,0,2,0.7,"The word 'e-ka-ma-pi' has cognates 'εγμα', 'εγματει', 'εγμαφι'. The suffix '-pi' should be ignored. The cognates suggest a common word. The ending '-ma' suggests an athematic noun. The lexicon entry 'stay' does not help much, but it is a common word."
e-ka-ma-te,0,0,2,0.85,"The word 'e-ka-ma-te' has the cognate 'εγματει/εγμα'. The Linear B word ends in '-te'. The cognate suggests a personal name. The ending '-te' is not a standard thematic ending. The cognate 'εγματει' suggests a dative form, which is often athematic. Therefore, it is classified as an anthroponym (personal name), a noun, and athematic."
e-ka-ma-te-qe,5,2,1,0.9,"The word 'e-ka-ma-te-qe' has the cognate 'εκαμαθε'. Removing the suffix '-qe', we have 'e-ka-ma-te'. The cognate 'εκαμαθε' suggests a participle form, specifically a passive participle. The ending '-te' could be a syllabic representation of a suffix related to participles. Given the cognate, it is likely a participle, and thus an adjective. The ending can be related to the -a declension, so inflection is 1."
e-ka-ra,5,0,1,0.95,"The word 'e-ka-ra' has the cognate 'εσχαρα' (eschara), meaning 'grill' or 'griddle'. This is a common noun. The ending '-a' suggests that it is a thematic noun in -a."
e-ka-ra-e-we,1,0,2,0.9,"The word 'e-ka-ra-e-we' has cognates 'γραω' and 'εγγραεfεις'. The lexicon describes it as related to rams (male sheep). 'γραω' means 'to eat'. The form 'e-ka-ra-e-we' is likely an athematic noun. The ending -we is not a standard thematic ending. The cognate 'γραω' suggests a connection to the act of eating or grazing, which is consistent with the description of rams. The ending -we is likely a variant of the athematic ending. The cognate 'εγγραεfεις' is not helpful."
e-ke,5,1,-1,0.95,"The word 'e-ke' has Greek cognates such as 'εχει' (echei - he has), 'εχειν' (echein - to have), 'εχονσι' (echonsi - they have), and 'εχουσι' (echousi - they have). These cognates indicate that 'e-ke' is a verb. The ending '-e' is consistent with a 3rd person singular present indicative form. Therefore, it's classified as a common word (5), a verb (1), and inflection is not applicable (-1) for verbs."
e-ke-a,5,0,1,0.9,"The word 'e-ke-a' has the Greek cognate 'εγχεια', which can be interpreted as 'spears'. The lexicon also suggests 'spears' as a possible meaning. The ending '-a' suggests a thematic noun in -a, likely a plural form. Therefore, it's classified as a common noun, thematic in -a."
e-ke-da-mo,0,0,0,0.95,"The word 'e-ke-da-mo' has Greek cognates 'εχεδαμος' and 'εχεδαμων', which are personal names. The lexicon also identifies it as an anthroponym. The ending '-o' suggests a thematic noun in -o."
e-ke-e,5,1,-1,0.95,"The word 'e-ke-e' has the Greek cognate 'εχειν' (ekhein), which means 'to have'. The lexicon also indicates 'he has/ to have/ they have'. The Linear B word ends in -e, which is consistent with the infinitive form of the verb. Therefore, it is classified as a verb. Since it's a verb, the inflection is -1."
e-ke-i-ja,5,0,1,0.95,"The word 'e-ke-i-ja' has the cognate 'εγχειη' (spear). This suggests it is a common noun. The ending '-ja' corresponds to the thematic inflection in '-a', typical of first declension nouns in ancient greek."
e-ke-i-jo-jo,0,0,0,0.95,"The word 'e-ke-i-jo-jo' has the Greek cognate 'εγχειος'. The lexicon entry indicates it's an anthroponym (person name) in the genitive case. The ending '-ojo' corresponds to the thematic genitive singular in -o, so it's a thematic noun in -o."
e-ke-jo-to,5,1,-1,0.95,"The word 'e-ke-jo-to' has the Greek cognates 'εγκειμαι/εγκειοντοι', which are verb forms meaning 'to lie in/on' or 'to be situated'. The Linear B word likely represents a verb form. Since it is a verb, the inflection is -1."
e-ke-me-de,0,0,2,0.95,"The word 'e-ke-me-de' has the Greek cognate 'εχεμηδης', which is a personal name (anthroponym). The Linear B word likely represents a similar anthroponym. The ending '-de' is not a standard thematic ending (-o or -a). The cognate 'εχεμηδης' suggests an athematic inflection, as it belongs to the third declension in ancient greek. Therefore, the inflection is classified as athematic."
e-ke-ne,0,0,2,0.9,"The word 'e-ke-ne' has the cognate 'εγγενης' (engenes), meaning 'native, born in'. Chadwick & Ventris identify it as an anthroponym. The ending '-e' suggests an athematic inflection, as thematic nouns in -o or -a would have different endings. The cognate is an adjective, but in Linear B it can be used as a name. The ending -e is compatible with the athematic declension, as it can be a dative or vocative singular. Therefore, it is classified as an anthroponym, a noun, with athematic inflection."
e-ke-qe,5,1,-1,0.95,"The word 'e-ke-qe' can be broken down into 'e-ke' and '-qe'. '-qe' is a conjunction suffix meaning 'and'. 'e-ke' has the cognate 'εχει' (ekhei), which means 'has'. The verb form 'ekhei' is a 3rd person singular present active indicative. Therefore, 'e-ke-qe' is a verb, and since it's a verb, the inflection is -1."
e-ke-ra-ne,3,0,1,0.9,"The word 'e-ke-ra-ne' has the cognate 'εγγελανες'. Chadwick & Ventris suggest it's a toponym, similar to Ἐγγελᾶνες. The ending '-ne' suggests a thematic noun in -a (plural form). Therefore, it is classified as a toponym (place name), a noun, and thematic in -a."
e-ke-ro,0,0,0,0.95,"The word 'e-ke-ro' has the cognate 'εγχερος', which is identified as an anthroponym (personal name) in both Chadwick & Ventris and Tselentis lexicons. The Linear B word ends in '-o', which corresponds to the thematic -o declension for nouns. Therefore, it's classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
e-ke-ro-qo-no,5,0,2,0.9,"The word 'e-ke-ro-qo-no' has the cognate 'εγχεροπονοι', which means 'wage earners'. This suggests that the Linear B word is a common noun. The ending '-no' does not fit the thematic declensions in -o or -a. The cognate's plural form 'εγχεροπονοι' suggests an athematic declension. Therefore, the inflection is classified as athematic."
e-ke-rya-wo,0,0,0,0.9,"The word 'e-ke-rya-wo' has the Greek cognate 'εχελιαfων'. According to the lexicon, it is a personal name. The ending '-wo' suggests a thematic noun in -o."
e-ke-rya-wo-ne,0,0,2,0.9,"The word 'e-ke-rya-wo-ne' has the cognate 'εχελιαfων', which is likely a personal name. The ending '-ne' suggests an athematic inflection. Therefore, it is classified as an anthroponym (personal name), a noun, and athematic."
e-ke-si,5,1,-1,0.9,"The word 'e-ke-si' has the cognate 'εγχουσι' (enchousi), which means 'they have/hold'. The -si ending is a clear indicator of a 3rd person plural verb form. Therefore, it is classified as a verb, and inflection is not applicable for verbs."
e-ki-no,1,0,0,0.9,"The word 'e-ki-no' has cognates 'εργινος' and 'εχινος', which refer to 'urchin' or 'porcupine'. The ending '-o' suggests a thematic noun in -o. Therefore, it is classified as an animal name (word_type = 1), a noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
e-ki-no-jo,0,0,0,0.95,"The word 'e-ki-no-jo' has the cognate 'εργινος', which is a personal name. The Linear B word ends in '-jo', which corresponds to the genitive singular ending '-ojo' for thematic nouns in -o. Therefore, it is classified as an anthroponym (personal name), a noun, and thematic in -o."
e-ki-wo,0,0,0,0.95,"The word 'e-ki-wo' has Greek cognates 'εχιfος/εχιfων'. Chadwick & Ventris identify it as an anthroponym, similar to Ἔχιος/Ἔχίων. The Linear B word ends in '-o', suggesting a thematic noun in -o. The cognates also support this classification, as they are personal names. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
e-ko,5,2,0,0.9,"The word 'e-ko' has cognates like 'εχοντες' and 'εχων', which are participles meaning 'having'. Participles are classified as adjectives. The ending '-o' suggests a thematic inflection in -o, similar to thematic nouns and adjectives."
e-ko-me-na-ta-o,0,0,1,0.9,"The word 'e-ko-me-na-ta-o' has cognates 'ερχομεναταο' and 'ερχομενατας'. The lexicons suggest it's a personal name. The ending '-ta-o' resembles the genitive form in -ao of thematic nouns in -a. Therefore, it's classified as an anthroponym (personal name), a noun, with thematic inflection in -a."
e-ko-me-no,5,2,0,0.95,"The word 'e-ko-me-no' has the cognate 'ερχομενος' (erchomenos) or 'ορχομενος' (orchomenos). The ending '-me-no' strongly suggests it's a participle, specifically a medium/passive participle. Participles are classified as adjectives. The ending '-o' indicates a thematic inflection in -o, consistent with the masculine nominative singular form of the participle."
e-ko-si,5,1,-1,0.9,"The word 'e-ko-si' has the Greek cognate 'εχουσι' (ekhousi), which means 'they have'. The '-si' ending is a strong indicator of a 3rd person plural verb form. Therefore, it is classified as a common word (5), a verb (1), and inflection is not applicable (-1) for verbs."
e-ko-so,3,0,0,0.9,"The word 'e-ko-so' has Greek cognates 'εξων|εξωνος'. The lexicon entries suggest it's a toponym. The ending '-o' suggests a thematic noun in -o. Therefore, it is classified as a toponym (place name), a noun, and thematic in -o."
e-ko-so-no,3,0,0,0.95,"The word 'e-ko-so-no' has the cognate 'εξωνος', and the lexicons indicate it's a toponym (place name). The ending '-no' suggests a thematic noun in -o."
e-ko-so-wo-ko,5,0,0,0.9,"The word 'e-ko-so-wo-ko' has the cognate 'εξωfοργοι', which means 'outside workers'. The lexicon entry confirms this meaning. The word ends in '-o', suggesting a thematic noun in -o. Therefore, it is a common noun with thematic inflection in -o."
e-ko-te,5,2,0,0.9,"The word 'e-ko-te' has the cognate 'εχοντες' (echontes), which is a participle meaning 'having'. Participles are classified as adjectives. The ending '-te' suggests a thematic inflection in -o, as the declension table shows that the thematic declensions can have an arbitrary consonant before the vowel."
e-ko-to,0,0,0,0.95,"The word 'e-ko-to' has the Greek cognate 'εκτωρ' (Hector), which is a personal name (anthroponym). The Linear B word ends in '-to', which can be considered a thematic -o ending, suggesting a thematic noun in -o. The lexicon entries also confirm that it is a personal name (Hector)."
e-ko-to-ri-jo,0,0,0,0.9,"The word 'e-ko-to-ri-jo' has the cognate 'εκτωρι'. Chadwick & Ventris identify it as an anthroponym in the dative case. The -o ending suggests a thematic noun in -o, and the dative case is consistent with this inflection class."
e-ku-se-we,5,0,2,0.9,"The word 'e-ku-se-we' has cognates 'εγχυσηfες|εγχεω' and lexicon entry 'funnels' (&gt;εγχέω= to pour in). The ending '-we' suggests an athematic noun. The cognate 'εγχυσηfες' (plural form) supports the noun classification. The word refers to 'funnels', a common object. Therefore, it is classified as a common noun with athematic inflection."
e-ku-se-we-qe,5,0,2,0.9,"The word is 'e-ku-se-we-qe'. Removing the suffix '-qe', we have 'e-ku-se-we'. The cognates are 'εγχεω' and 'εγχυσηfες'. The lexicon entries define it as 'funnels' and 'to pour in'. 'εγχυσηfες' is a plural form. The word is a common noun. The ending '-we' suggests an athematic inflection, as thematic nouns typically end in -o or -a. The cognate 'εγχυσηfες' confirms the plural form and athematic inflection."
e-ma-ha,2,0,1,0.95,"The word 'e-ma-ha' has Greek cognates 'ερμαhαι|ερμαhας|ερμης' which are related to the god Hermes. The Linear B word likely represents a form of Hermes. The ending '-ha' suggests a thematic noun in -a, possibly a nominative singular or plural form. Given the cognates and the lexicon entries, it is classified as a theonym (deity name), a noun, and thematic in -a."
e-ma-ta,5,0,1,0.9,"The word 'e-ma-ta' has the cognate 'ερματα' (ermata) which means 'straps'. The Linear B word 'e-ma-ta' likely represents the plural form of a noun. The ending '-a' suggests a thematic noun in -a, likely a neuter plural form. Therefore, it is classified as a common noun with thematic inflection in -a."
e-me,5,3,-1,0.7,"The word 'e-me' has cognates 'εμει' and 'ενι'. The lexicon entries suggest 'one' or 'with one'. Given these meanings, it is most likely an adverb. Since it is an adverb, the inflection is -1."
e-mi-to,5,2,0,0.95,"The word 'e-mi-to' has cognates 'εμμισθος/εμμισθων' meaning 'in pay, hired'. This suggests it is an adjective. The ending '-to' corresponds to the thematic -o ending, indicating a thematic adjective in -o."
e-n-nu-we,2,0,2,0.95,"The word 'e-n-nu-we' has the Greek cognate 'ερινυς' (Erinys), which refers to a Fury, a deity of vengeance. Therefore, the word type is theonym. The word is a noun. The ending '-we' does not directly correspond to any of the thematic noun endings (-o, -a). However, considering the cognate 'ερινυς', which is an athematic noun, and the fact that Linear B often simplifies or modifies endings, it's most likely an athematic noun. The -we ending could be a syllabic representation of a modified athematic nominative singular."
e-na-po-ro,3,0,0,0.95,"The word 'e-na-po-ro' has the Greek cognate 'εναπλους', and the lexicons identify it as a toponym (place name). The ending '-o' suggests it is a thematic noun in -o."
e-ne-e-si,5,1,-1,0.95,"The word 'e-ne-e-si' has the Greek cognates 'ενεισι', 'ενεενσι', and 'ενειμι', all of which are forms of the verb 'to be'. The Linear B word ends in '-si', which, according to the provided verb rules, indicates a 3rd person plural verb form. Therefore, it is classified as a common word (5), a verb (1), and inflection is not applicable (-1) for verbs."
e-ne-ka,5,3,-1,0.95,"The word 'e-ne-ka' has the Greek cognate 'ενεκα', which is a preposition meaning 'because of' or 'for the sake of'. In Mycenaean Greek, it functions as an adverb. Since it's an adverb, the inflection is -1."
e-ne-si-da-o-ne,2,0,2,0.95,"The word 'e-ne-si-da-o-ne' has the Greek cognates 'ενεσιδαονει' and 'ενεσιδαων', which refer to Poseidon, specifically as 'earth-shaker'. This indicates it is a theonym (deity name). The ending '-ne' suggests a dative form, and the cognate 'ενεσιδαονει' confirms this. Dative forms of athematic nouns often end in -e or -i. Therefore, it is an athematic noun."
e-ne-wo,5,2,0,0.85,The word 'e-ne-wo' has the cognate 'εννεfο'. This suggests that 'e-ne-wo' is an adjective. The ending '-o' suggests that it is a thematic adjective in -o.
e-ne-wo-pe-za,5,0,0,0.95,"The word 'e-ne-wo-pe-za' corresponds to the Greek word 'εννεfοπεζα', meaning 'with nine legs' or 'nine-legged table'. This is a common noun. The ending '-za' corresponds to the thematic -a ending, but the cognate suggests that it is a thematic noun in -o (neuter plural). Therefore, I classify it as thematic in -o."
e-ni-ja-u-si-jo,5,2,0,0.95,"The word 'e-ni-ja-u-si-jo' has the Greek cognate 'ενιαυσιος' (eniausios), which means 'annual' or 'yearly'. This suggests that the Linear B word is an adjective. The ending '-jo' corresponds to the thematic -o ending, indicating a thematic adjective."
e-ni-pa-te-we,3,0,2,0.9,"The word 'e-ni-pa-te-we' has cognates 'ενιπατευfει' and 'ενιπατευς'. The lexicons also indicate it's a toponym (place name). The ending '-we' suggests an athematic inflection, possibly a dative form. The cognate ενιπατευς is an athematic noun, so the inflection is athematic."
e-ni-qe,5,1,-1,0.95,"The word 'e-ni-qe' can be broken down into 'e-ni' and '-qe'. The suffix '-qe' is a conjunction meaning 'and'. 'e-ni' has the cognate 'ενι', which Chadwick & Ventris interpret as 'and there is (are) among them' cf. ἔνεστί τε ἔνι. This suggests that 'e-ni' is a verb form. Therefore, 'e-ni-qe' is a verb with a conjunction. Since it's a verb, the inflection is -1."
e-nu-wa-ri-jo,2,0,0,0.95,"The word 'e-nu-wa-ri-jo' has the cognate 'ενυfαλιος', which is an epithet of Ares, the god of war. The lexicon also identifies it as a theonym. The ending '-jo' suggests a thematic noun in -o, likely the genitive or dative singular form. Given the lexicon entry indicating a dative form, and the declension table showing -o as a possible dative ending for thematic nouns, I classify it as a theonym with thematic inflection in -o."
e-nwa-ri-jo,2,0,2,0.95,"The word 'e-nwa-ri-jo' has the cognate 'ενυfαλιος', which refers to a deity (likely Ares/Mars). The lexicon also suggests it's a god's name. The ending '-jo' corresponds to the genitive form of athematic nouns (similar to the genitive in -os in later Greek). Therefore, it's classified as a theonym (2), a noun (0), and athematic (2)."
e-o,5,1,-1,0.95,"The word 'e-o' has the Greek cognates 'ειμι' and 'εων'. 'ειμι' means 'I am' and 'εων' means 'being'. Given the lexicon entry 'being/existing', and the cognate 'ειμι', it is most likely a verb. Since it's a verb, the inflection is -1."
e-pe-ke-u,0,0,2,0.95,"The word 'e-pe-ke-u' has the cognate 'επειγευς', which Chadwick and Ventris identify as an anthroponym. The ending '-u' suggests an athematic inflection, consistent with the Greek cognate's ending '-ευς'."
e-pi,5,3,-1,0.95,"The word 'e-pi' corresponds to the Greek word 'επι', which functions as a preposition or adverb meaning 'on', 'upon', or 'towards'. Therefore, it is classified as a common word and an adverb. Since it's an adverb, the inflection is not applicable."
e-pi-da-to,5,2,0,0.85,"The word 'e-pi-da-to' has the cognate 'επιδαστος'. Chadwick & Ventris suggest it's an adjective meaning 'distributed'. The ending '-to' suggests a thematic adjective in -o, similar to thematic nouns in -o."
e-pi-de-da-to,5,2,0,0.9,"The word 'e-pi-de-da-to' has the cognate 'επιδεδατο', which means 'has been distributed'. This suggests it's a participle, and therefore an adjective. The ending '-to' suggests a thematic inflection in -o."
e-pi-di-da-to,5,2,0,0.85,"The word 'e-pi-di-da-to' has cognates 'επιδιδαστοι' and 'επιδιδωμι'. 'επιδιδωμι' is a verb meaning 'I give, I distribute'. 'επιδιδαστοι' is less clear, but the lexicon entry 'distributed' suggests a connection to the verb. Given the -to ending, it is likely a participle form, specifically a verbal adjective. Therefore, it is classified as an adjective (part_of_speech = 2). The -to ending suggests a thematic inflection in -o (inflection = 0)."
e-pi-ja-ta,0,0,1,0.9,"The word 'e-pi-ja-ta' has the Greek cognate 'εφιαλτας', which is a personal name (anthroponym). The Linear B word ends in '-ta', corresponding to the '-ας' ending in the Greek cognate. This suggests a thematic noun in -a."
e-pi-ke-re,5,2,0,0.85,"The word 'e-pi-ke-re' has the cognate 'επιθερος', which is an adjective. The ending '-re' corresponds to the thematic -o inflection for adjectives. Therefore, it is classified as a common adjective with thematic inflection in -o."
e-pi-ki-to-ni-ja,5,0,1,0.95,"The word 'e-pi-ki-to-ni-ja' has the Greek cognate 'επιχιτωνια', which refers to a kind of clothing. The Linear B word likely represents a similar concept. The ending '-ja' corresponds to the thematic -a declension, making it a noun of inflection class 1."
e-pi-ko-wo,5,0,0,0.9,"The word 'e-pi-ko-wo' has the cognate 'επικορfοι', which suggests a meaning related to 'observers' or 'guards'. The Linear B word ends in '-o', which is a common ending for thematic nouns in the -o declension. Therefore, it is classified as a common noun with thematic inflection in -o."
e-pi-we-ti-ri-jo,5,0,0,0.9,"The word 'e-pi-we-ti-ri-jo' has the cognate 'επιfεστριος', which refers to an occupational term related to upper garments. The Linear B word likely represents a similar occupation or role. The ending '-jo' suggests a thematic noun in -o. Therefore, it's classified as a common noun with thematic inflection in -o."
e-pi-zo-ta,5,0,1,0.9,"The word 'e-pi-zo-ta' has the cognate 'επιζωστα', which refers to 'tied on top' or 'weapons belts'. The ending '-ta' suggests a thematic noun in -a. Therefore, it is classified as a common noun with thematic inflection in -a."
e-po,5,0,0,0.85,"The word 'e-po' has the Greek cognate 'επος' (epos), which means 'word, speech, epic'. This suggests that 'e-po' is a common noun. The ending '-o' indicates that it is a thematic noun in -o."
e-po-me-ne-u,0,0,2,0.9,"The word 'e-po-me-ne-u' has the cognate 'επομενευς', which is an anthroponym (person name). The Linear B word ends in '-u', corresponding to the '-ευς' ending in the Greek cognate. This ending indicates an athematic noun."
e-qa-ro,0,0,0,0.95,"The word 'e-qa-ro' has the cognate 'εμβαρος', which is identified as an anthroponym (personal name) in the lexicon. The word ends in '-ro', which corresponds to the thematic -o ending, indicating a thematic noun in -o."
e-qe-si-ja,5,0,1,0.9,"The word 'e-qe-si-ja' has cognates 'επεεσσι' and 'επεσια'. The lexicon entry relates it to 'epetas'. Considering the cognates and the -ja ending, it is likely a common noun, specifically a thematic noun in -a. The cognates suggest a plural form or a derivative related to speech or words, but the Linear B form is singular. The -ja ending aligns with the thematic -a declension."
e-qe-si-jo,5,0,0,0.85,"The word 'e-qe-si-jo' has cognates 'επεσια' and 'επεσιος'. The lexicon entry indicates it's related to 'epetas'. Given the -jo ending, it is likely a thematic noun in -o, possibly a genitive singular or nominative/accusative plural form. It is a common word."
e-qe-ta,5,0,1,0.9,"The word 'e-qe-ta' has the Greek cognate 'επετης' (hepetes), meaning 'follower' or 'companion'. This suggests it's a common noun referring to a person of a certain rank or role. The ending '-a' indicates that it is a thematic noun in -a."
e-qe-ta-e,5,0,1,0.9,"The word 'e-qe-ta-e' has the cognate 'επετης' (epetes), meaning 'attendant' or 'official'. The lexicon entry confirms this meaning. The Linear B word likely represents a form of this word. The ending '-e' suggests a thematic noun in -a, possibly a vocative form. Therefore, it's classified as a common noun (word_type=5), part of speech is noun (part_of_speech=0), and inflection is thematic in -a (inflection=1)."
e-qe-ta-i,5,0,2,0.9,"The word 'e-qe-ta-i' has the cognate 'επετης', which means 'follower' or 'attendant'. The lexicon entry confirms this meaning as an 'official title (= attendant)'. The ending '-i' suggests a dative singular form of an athematic noun. The cognate επετης is an athematic noun, so this classification is consistent."
e-ra,2,0,1,0.95,"The word 'e-ra' corresponds to the Greek goddess Hera (ερα). Therefore, it is a theonym (deity name). The ending '-a' suggests that it is a thematic noun in -a."
e-ra-ja,4,0,1,0.95,"The word 'e-ra-ja' has the cognate 'εραια', which is likely an ethnic name related to 'Era'. The ending '-a' suggests it's a thematic noun in -a, and the lexicon confirms it's an ethnic name. Therefore, word_type is 4 (ethnonym), part_of_speech is 0 (noun), and inflection is 1 (thematic in -a)."
e-ra-jo,5,0,0,0.9,"The word 'e-ra-jo' has the Greek cognate 'εραιος'. This suggests that 'e-ra-jo' is a common word, specifically a noun. The ending '-jo' corresponds to the thematic -o declension, indicating that it is a thematic noun in -o."
e-ra-pe-ja,5,0,1,0.95,"The word 'e-ra-pe-ja' has the cognate 'ελαφεια', which means 'material taken from deer'. The ending '-ja' corresponds to the '-a' suffix in the declension table, indicating a thematic noun in -a. Therefore, it is a common noun."
